acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-1.4987702, 3.3423057, 8.535329,-0.002130529, 0.0010652645, -5.326322E-4,0.06356609, -0.11715388, -0.331048,Jogging
-1.6831238, 3.157952, 8.746018,-0.002130529, 0.0010652645, -5.326322E-4,-0.19076264, -0.035057545, -0.33162403,Jogging
-2.0326772, 3.265691, 8.717288,-0.002130529, 0.0010652645, -5.326322E-4,-0.14395893, 0.038222075, 0.37243938,Jogging
-2.0135236, 3.3039982, 9.428367,-0.002130529, 0.0010652645, -5.326322E-4,0.19153178, -0.35197997, 1.3241386,Jogging
-1.532289, 2.6527755, 10.498574,-0.87138635, -0.014913702, 0.850081,0.105407834, -0.4458289, 2.038661,Jogging
-1.5658079, 2.4277205, 11.264719,-0.6854977, -0.13102753, 0.8857674,0.40945876, -0.4390273, 2.1848183,Jogging
-1.1875241, 2.336741, 11.453861,-0.37124467, -0.36112466, 0.9171927,0.7086893, -0.54683256, 1.7415123,Jogging
-0.770933, 2.1883004, 11.042058,-0.24607609, -0.3323625, 0.90494215,0.1560148, 0.18903351, 1.3147984,Jogging
-0.9528923, 2.4779987, 10.785878,-0.22264028, 0.13156016, 0.93903065,0.41994113, -0.14593148, 1.3700457,Jogging
-0.50757074, 2.0015526, 10.893618,-0.28176245, 0.55074173, 0.99762017,0.2623453, -0.25428092, 1.884161,Jogging
-0.5291186, 1.6903064, 11.463438,-0.25300032, 0.62744075, 0.9827065,0.34156597, -0.14146352, 1.9377728,Jogging
-0.29688102, 1.6448165, 11.559206,-0.053263225, 0.49960902, 0.9139969,0.22810501, 0.112023115, 1.3851719,Jogging
-0.31124622, 1.8555063, 11.020511,0.15286545, 0.24660872, 0.7616641,-0.12475878, 0.19286466, 1.058445,Jogging
-0.6847417, 1.9369092, 10.692505,0.28016454, -0.002130529, 0.6098639,-0.1476649, 0.26009703, 1.1750336,Jogging
-0.7326257, 2.018312, 10.805033,0.2806972, -0.25300032, 0.5811018,0.25912747, 0.3101077, 1.4992104,Jogging
-0.21547815, 2.0805612, 11.133038,0.1965413, -0.42876893, 0.47617322,0.42782566, -0.1626699, 2.4890118,Jogging
0.05267244, 1.6496049, 12.119449,0.3520699, -0.70680296, 0.3190467,0.28962272, -0.510062, 2.1505966,Jogging
0.062249243, 1.3718776, 11.77229,0.6135923, -0.9890981, 0.23062976,0.43541774, -0.6524745, 1.0298414,Jogging
0.40701428, 1.3479356, 10.630256,0.78936094, -0.984837, 0.17044231,0.117882416, -0.5973183, -0.64315796,Jogging
0.28491, 1.553837, 8.92319,0.727043, -0.7888283, 0.13422333,-0.5007116, -0.6013489, -2.1752267,Jogging
-0.17717093, 1.6879122, 7.3549876,0.50653327, -0.44315, 0.20026971,-0.79308516, -0.72734857, -3.0628724,Jogging
-0.37588966, 1.6567876, 6.4404025,0.22210763, -0.1667139, 0.30040458,-1.052253, -0.8243309, -3.338037,Jogging
-0.58897364, 1.5993267, 6.1530986,0.033023197, -0.12410331, 0.3685815,-1.3474461, -0.91082716, -3.3065047,Jogging
-0.842759, 1.5155296, 6.181829,0.05219796, -0.33822146, 0.39947417,-1.7063029, -1.1701458, -3.5373025,Jogging
-1.1180922, 1.2617443, 5.9448028,0.23755397, -0.8175905, 0.41278997,-2.4798613, -1.5136054, -3.9910636,Jogging
-1.7166426, 0.9576807, 5.4683566,0.57151437, -1.6000272, 0.5113269,-3.1687522, -1.8967721, -4.6269436,Jogging
-2.078167, 0.6727707, 4.7740383,1.0231866, -2.6354642, 0.70467246,-3.0277162, -2.5714529, -6.6153173,Jogging
-1.4077905, 0.16998832, 2.6599581,1.3369069, -3.8402784, 1.0801781,-2.0468984, -2.859212, -7.9155617,Jogging
