acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-1.8171991, 4.232949, 9.263166,0.007456851, -0.014913702, -0.010120012,-0.014103055, 0.05001402, 0.10702515,Jumping
-1.3814543, 4.074931, 8.571242,0.007456851, -0.014913702, -0.010120012,0.28168786, -0.24857545, -0.5742092,Jumping
-1.2066777, 4.0773253, 8.968679,0.007456851, -0.014913702, -0.010120012,0.41558838, -0.16456938, -0.5641718,Jumping
-0.8331822, 3.787627, 8.293514,0.007456851, -0.014913702, -0.010120012,0.2772377, -0.17059231, -0.8508897,Jumping
-0.5650316, 3.9073372, 8.303091,0.08894958, -0.14594123, -0.33449304,0.27504355, 0.11299038, -1.020616,Jumping
-0.62728083, 3.976769, 7.989451,0.018642128, -0.07084008, -0.3339604,0.53789186, 0.21698093, -0.83042336,Jumping
-0.5506664, 4.4603977, 7.7308774,-0.08362326, -0.20026971, -0.4245079,0.54116714, 0.058296204, -0.6297636,Jumping
-0.090979666, 4.7764325, 7.8290396,-0.21944448, -0.32650355, -0.5800365,-0.082363755, -0.05787325, 0.053673744,Jumping
0.11971009, 4.747702, 7.9726915,-0.39787626, -0.22956449, -0.57417756,-0.21974176, 0.052004337, 1.1448402,Jumping
-0.5363012, 4.6040497, 8.669404,-0.40959418, -0.066046394, -0.37017938,0.39624238, 0.3779497, 1.0303354,Jumping
-0.6871359, 4.6399627, 9.799467,-0.25885928, 0.018109497, -0.22370553,0.19988778, 0.618845, 0.62602615,Jumping
-0.093373865, 4.891354, 9.722853,-0.13262543, 0.01438107, -0.17896444,-0.051185668, 0.68777895, 0.0037794113,Jumping
-0.09816227, 5.1906295, 9.296685,-0.06498113, -0.105993815, -0.16085494,0.045978934, 0.4903326, -0.1602459,Jumping
-0.36391866, 5.449203, 8.571242,-0.06657903, -0.21731395, -0.13422333,-0.015615284, 0.27592993, -0.14126205,Jumping
-0.24899697, 5.410896, 8.317456,-0.06018744, -0.20399815, -0.0958738,0.05563365, 0.103532314, -0.13571358,Jumping
-0.31603462, 5.29358, 8.279149,-0.03195793, -0.15819177, -0.051132694,0.11897661, -0.13330412, -0.4157343,Jumping
-0.22505496, 5.171476, 8.255207,-5.326322E-4, -0.13422333, -0.04527374,0.0037708282, -0.41181183, -0.8117614,Jumping
-0.1388637, 4.9320555, 7.97748,-0.0010652645, -0.15446335, -0.068176925,0.2339214, -0.6993799, -1.0587873,Jumping
-0.23702596, 4.656722, 7.5800424,-0.0644485, -0.26738137, -0.113983296,0.05107516, -1.0421004, -0.8138094,Jumping
0.01436521, 4.369418, 7.33344,-0.103863284, -0.36751625, -0.1917476,-0.35098064, -1.232126, -1.1406169,Jumping
-0.1340753, 4.0054994, 7.5920134,-0.11664646, -0.60933125, -0.29241508,-0.40763175, -1.6906581, -1.0626693,Jumping
-0.49559975, 3.7948096, 7.2783732,-0.099069595, -0.5747102, -0.2806972,-0.6393188, -2.0999112, -1.2956505,Jumping
-0.47884035, 3.3159695, 7.369353,-0.041012682, -0.6295713, -0.24607609,-0.6109241, -2.4403386, -1.4213572,Jumping
-0.641646, 2.8898015, 7.1466923,0.06870956, -0.95128113, -0.23489082,-0.55168366, -2.9171023, -1.8929262,Jumping
-0.5315128, 2.542642, 7.0245876,0.24394555, -1.448227, -0.22423817,-0.5622359, -3.2780502, -2.3713546,Jumping
-0.33518824, 2.078167, 6.543353,0.5091964, -1.9856529, -0.27057716,-1.5012217, -3.3711698, -2.904338,Jumping
-0.12449849, 1.7597382, 6.030994,0.92038846, -2.6130936, -0.25832662,-1.906125, -3.7723598, -5.54587,Jumping
-0.7589619, 1.7549498, 5.422867,1.1893678, -2.8570392, -0.10918961,-2.932756, -3.8908062, -7.195102,Jumping
-0.7589619, 1.5107412, 2.6360161,1.0604708, -2.5007083, 0.13582122,-3.4963353, -2.7979736, -8.706602,Jumping
-1.3359646, 1.5873557, 0.78050977,0.68389976, -2.027731, 0.47723848,-2.748169, -2.862883, -12.174923,Jumping
-1.4915876, 2.8419175, -0.93852705,-0.4101268, -1.9979035, 0.9720538,4.446239, -6.6630406, -5.690173,Jumping
-0.37828386, 2.861071, -4.572925,-2.6668897, -2.1880531, 1.5531555,9.5201025, -7.572768, 16.980526,Jumping
7.228095, -1.0510546, 1.8555063,-3.9617186, -3.2916672, 2.0426445,21.06575, -7.519228, 38.716217,Jumping
12.801797, -2.4612393, 24.679432,-2.6887274, -3.93775, 2.5742116,19.437717, -1.8477248, 40.801697,Jumping
25.050533, -3.169923, 46.550465,0.45540056, -3.7673078, 2.1022995,13.305107, 3.877078, 27.248522,Jumping
24.241293, 1.8579005, 48.506527,2.3339944, -3.482882, 2.310026,10.334927, 8.103893, 17.331444,Jumping
18.825607, 7.433996, 34.53157,2.5832663, -2.834136, 2.4101608,7.5333824, 9.731718, 11.79751,Jumping
16.50802, 11.717223, 24.04018,2.549178, -3.005111, 1.9457055,3.6352262, 7.6737604, 8.24752,Jumping
14.245501, 13.366828, 17.954119,3.0216227, -3.2847428, 1.1739215,-0.10951567, 5.283473, 0.92043495,Jumping
10.840945, 11.336545, 13.800179,3.9563923, -3.4072483, 0.38775626,-9.400131, 1.317018, -5.1649837,Jumping
7.524976, 9.085996, 5.7604494,4.345214, -3.0897996, -0.3898868,-14.6074295, -0.93701506, -8.753689,Jumping
-1.4341269, 5.4085016, -1.1683705,4.1065946, -3.0258837, -0.47244477,-16.218136, -3.2871823, -9.894242,Jumping
-6.4547677, 3.526659, -5.626374,3.3257556, -2.6658244, -0.40852892,-15.6627655, -4.760142, -8.319667,Jumping
-7.9463553, 1.4748282, -7.642292,2.5033715, -2.149171, -0.34621096,-16.01165, -6.191422, -7.1838446,Jumping
-7.3310456, 0.19393034, -6.8330517,1.7113473, -1.9062908, -0.31265512,-16.437103, -7.084076, -4.561977,Jumping
-7.66384, -1.1204864, -6.3063273,1.1590078, -1.4386396, -0.16724652,-15.602123, -7.3082113, -2.4837036,Jumping
-8.09719, -1.9393034, -4.177882,0.98750013, -1.3464943, -0.013848438,-14.325649, -8.105057, -2.3058548,Jumping
-7.273585, -2.1308396, -2.4588451,0.62317973, -1.850897, 0.07456851,-14.229099, -8.117679, -1.748806,Jumping
-6.0022635, -2.9281087, -2.6072857,-0.010652645, -1.7768611, 0.21411815,-13.506071, -8.223546, 0.25947976,Jumping
