acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
3.6152446, 1.8914193, 11.614272,0.034088463, 0.16085494, 0.11451593,0.8688791, 0.5146711, 4.018358,Running
2.9233203, 1.733402, 13.5296335,0.034088463, 0.16085494, 0.11451593,-0.25959003, 0.5532185, 3.5003242,Running
1.5586253, 1.8028339, 13.055582,0.034088463, 0.16085494, 0.11451593,-1.3157246, 0.9116118, 1.2585878,Running
0.10534488, 2.360683, 10.852917,0.034088463, 0.16085494, 0.11451593,-1.018804, 1.009464, 3.3064222,Running
0.01436521, 2.5953147, 12.928689,-0.5422196, 0.56245965, -0.4181163,0.117527604, 0.744251, 6.3960714,Running
1.0295067, 2.2337902, 16.04594,-0.2775014, -0.0628506, -0.46179214,0.425399, 0.3488531, 6.961294,Running
1.3359646, 1.7932571, 16.618155,0.34674358, -0.777643, -0.51452273,1.1049719, 0.31277168, 4.999543,Running
2.1499932, 1.8339585, 14.630966,0.92944324, -0.71958613, -0.41225734,1.913813, 0.66622293, 2.043149,Running
3.083732, 2.3750482, 11.628637,0.89162636, -0.09374327, -0.41545314,2.4159994, 0.85706174, 1.2777433,Running
3.5889084, 2.7461493, 10.828975,0.49960902, 0.4958806, -0.58962387,1.7961211, 0.5067723, 1.5111618,Running
2.8514943, 2.504335, 11.054029,0.2647182, 0.60080916, -0.9076053,0.71674067, 0.072291136, 0.97384644,Running
1.6208745, 2.1380222, 10.517728,0.2593919, 0.46978164, -1.139833,0.3490178, -0.14705467, -0.05740547,Running
1.115698, 1.9871874, 9.483433,0.3323625, 0.18588865, -1.2687299,-0.18527853, -0.5567014, -0.6154547,Running
0.49081135, 1.6591818, 8.913613,0.39734364, -0.17097494, -1.3805827,-1.0891515, -1.0813646, -1.0932493,Running
-0.4429273, 1.2282255, 8.415619,0.567786, -0.41278997, -1.4066817,-1.1773789, -1.1140622, -1.3961296,Running
-0.51954174, 1.3215994, 8.080431,0.80747044, -0.93849796, -1.4444987,-1.925864, -0.8657062, -1.2343607,Running
-1.163582, 1.7429788, 8.1881695,1.3454291, -2.0682108, -1.5680692,-2.274818, -0.8852556, -3.7156143,Running
-1.2114661, 2.0039468, 5.595249,1.9196066, -3.0541131, -1.6026903,-6.6336856, 0.826674, -5.09589,Running
-5.106832, 4.110844, 4.0174704,1.8594191, -3.6517265, -1.4333134,-7.541716, 1.6645246, -4.724777,Running
-5.45878, 5.3342814, 4.1276035,1.2106731, -2.694054, -0.7206514,-4.5887465, 1.8775618, 2.2608223,Running
-2.0901382, 5.791574, 10.898406,1.0663297, -2.3915186, 0.0063915867,-0.61325765, 1.6027117, 3.4234896,Running
2.2936451, 5.6982, 11.84651,1.635181, -3.0397322, 0.049002163,1.0691395, 3.3374443, 1.0219259,Running
4.4819455, 7.699753, 9.114726,2.141714, -3.5675707, -0.52837116,-2.6654873, 1.8684134, 2.2342086,Running
1.2593501, 6.6056023, 9.871294,2.6929886, -2.966229, -0.783502,-4.226725, -2.6985998, -5.0441356,Running
0.05746084, 2.4995465, 2.0829554,2.218413, -1.2879047, -0.9917612,-9.771885, -6.7747993, -6.163716,Running
-5.415684, -1.1827357, 0.61291564,0.39734364, -1.0972224, -0.31265512,-5.0307126, -11.452503, -2.5266762,Running
-0.5626374, -5.779603, 4.10845,-0.175236, -1.5888419, 1.2516857,-0.8832946, -15.642046, -3.7611606,Running
3.9336734, -10.108319, 2.7461493,0.2972088, -2.6194854, 1.4919028,-3.29253, -17.331604, -8.254207,Running
2.0207062, -11.911154, -2.0446482,0.7307714, -3.4653053, 1.2948289,-7.5299253, -17.599937, -12.979607,Running
-1.6639702, -12.236765, -7.2352777,0.39840892, -4.203001, 1.5414376,-9.43045, -17.199343, -14.630772,Running
-2.942474, -11.98298, -9.44752,-0.6279734, -4.630172, 2.3584955,-5.5142584, -16.842049, -14.152403,Running
1.6639702, -12.0093155, -9.5385,-1.9020296, -4.3425508, 3.3587787,0.82879543, -15.009784, -10.589373,Running
8.688558, -10.848128, -6.457162,-2.9640985, -3.2996566, 3.6320193,2.887353, -11.751722, -8.949077,Running
11.281479, -8.415619, -5.130774,-3.2431977, -1.8274611, 3.075951,3.8519096, -8.456319, -10.14237,Running
12.564771, -5.889736, -6.445191,-3.629356, -1.3667343, 3.1217575,12.993064, -5.4734077, -8.695429,Running
21.940464, -3.7229836, -5.08289,-4.916728, -0.93157375, 3.8211036,30.08993, -3.2356381, 4.421659,Running
39.19787, -2.5258827, 7.9870567,-6.3457804, -0.43409526, 3.2740903,37.454678, -0.8462766, 22.565395,Running
46.60553, -1.1827357, 26.07525,-5.8807926, -0.4878911, 1.6687368,30.702232, 4.5628552, 32.345856,Running
39.863457, 3.5194764, 35.685577,-3.9808934, 0.19121496, 0.793622,24.083572, 9.117883, 27.731903,Running
33.212364, 7.666234, 31.007307,-2.4666197, 2.1997712, 0.28655612,14.635672, 11.697408, 22.352097,Running
23.604435, 10.024523, 25.948359,-0.92518216, 2.8836708, -1.0386329,3.0842104, 14.909823, 14.671782,Running
11.865664, 13.350069, 18.748993,0.82877576, 1.7470337, -2.1124194,0.5636444, 15.174596, 6.6232157,Running
9.25359, 14.053964, 11.027693,1.5094798, 0.29827404, -2.935336,3.2966213, 11.097779, 3.5330553,Running
12.006922, 10.620679, 8.013393,0.99442434, -0.13528858, -3.961186,-1.9393559, 10.217946, 1.2827997,Running
6.789956, 10.520123, 5.741296,0.6002765, 1.0743192, -4.8203216,-4.7434387, 6.5029035, 0.2394085,Running
3.8163576, 7.69257, 4.8745947,0.65513766, 2.364887, -4.6839676,1.1039133, -1.5624611, -3.0632544,Running
9.284714, 0.47405192, 1.946486,0.97738016, 2.5236115, -4.8565407,1.2646637, -6.2127476, -4.8414235,Running
8.944737, -3.3063924, 0.51954174,1.0721886, 2.7846012, -5.140434,0.52258205, -10.314327, -3.2182717,Running
7.551312, -6.5337763, 2.480393,1.4359765, 2.321744, -5.1244545,-1.7058544, -12.81436, -2.160136,Running
4.6232033, -8.183381, 3.727772,2.5699506, 1.8945729, -4.796886,-4.708568, -15.49169, -7.01022,Running
0.91219085, -9.986216, -1.1563994,3.4605117, 0.9864349, -4.1236386,-11.751269, -16.792675, -12.612508,Running
-6.730101, -10.455479, -7.062895,2.815494, -0.4990764, -2.8996499,-13.259102, -19.37853, -13.622776,Running
-8.568848, -12.459426, -8.494628,1.0977551, -2.3622239, -0.14966966,-6.2361197, -21.390266, -9.711678,Running
-1.3335704, -14.348451, -4.96318,-0.37337518, -3.1308122, 2.1821942,-5.914004, -21.083641, -4.898576,Running
-0.4213795, -14.302961, -0.4237737,-0.5768407, -2.4282703, 3.299124,-7.294065, -20.12063, -4.7710075,Running
-1.1563994, -13.773843, -0.50278234,0.25353295, -2.6844664, 4.0804954,-7.0904546, -18.275524, -6.7043824,Running
-0.23702596, -12.437878, -2.815581,1.2287825, -4.3500075, 4.7585363,-1.8356233, -15.5082245, -8.988978,Running
5.849035, -10.275913, -5.8681884,1.9813919, -5.61927, 5.037636,4.3636503, -10.698082, -12.246312,Running
12.828133, -6.1770406, -10.225636,2.2599585, -5.3449645, 4.354801,4.438675, -5.5405664, -14.661207,Running
13.421895, -1.7118542, -13.759478,1.3331785, -3.4386737, 3.4013894,4.432294, -1.5374308, -14.366431,Running
13.692439, 1.685518, -14.185645,-0.6716492, -1.8269285, 3.583017,14.404573, 0.9699774, -12.291525,Running
23.872585, 3.5218706, -12.413936,-2.3936493, 0.13262543, 4.4442835,27.776081, 3.1095471, -9.686934,Running
37.433342, 4.8147397, -9.682152,-3.8786278, 1.9004318, 3.8573227,30.281006, 4.1948, -1.0409131,Running
40.03105, 5.133168, -0.5650316,-5.3241916, 1.2181299, 2.2391858,34.24242, 5.172775, 6.451148,Running
44.00782, 5.60722, 7.237672,-5.503156, 0.38935417, 1.8338528,35.56284, 4.87505, 11.490168,Running
45.329422, 4.8602295, 12.375628,-5.2805157, 1.7044232, 0.87831056,22.947758, 3.5881028, 14.801697,Running
32.676064, 3.2920272, 16.002844,-4.479437, 3.665575, -1.0812434,7.993121, 2.420763, 13.030243,Running
17.614141, 2.195483, 14.915876,-2.6599653, 3.6634445, -1.984055,1.4011669, 2.3885152, 8.113258,Running
10.8624935, 2.4229321, 10.692505,-0.7355651, 3.0897996, -2.0591562,-2.5454803, 2.3108609, 3.1526177,Running
6.730101, 2.6886885, 6.31351,0.42770368, 2.5023062, -2.2285333,-5.0908012, 2.0885494, 0.098566055,Running
3.98874, 2.9041667, 3.7134068,0.9006811, 1.9318571, -2.3718114,-6.0940046, 1.1158693, -1.0982242,Running
2.789245, 2.4253263, 2.8443117,1.2159994, 1.8865833, -2.437325,-6.0571213, -0.50243723, -1.5247147,Running
2.5953147, 1.3335704, 2.7102363,1.5622103, 1.7470337, -2.6498454,-6.8343105, -2.0104568, -2.662818,Running
1.553837, 0.41180268, 1.8028339,1.8269285, 1.6479641, -3.1089742,-8.825617, -3.870673, -3.7236552,Running
-0.7589619, -0.770933, 0.91219085,1.9510318, 0.89855057, -3.417901,-7.236953, -5.671586, -3.4984822,Running
0.50996494, -1.8507179, 1.1444284,1.8343854, 1.1526161, -3.309244,-8.292567, -5.715143, -2.7468295,Running
-0.92655605, -1.2258313, 1.9177556,1.8738002, 2.5523736, -2.9166942,-6.179588, -4.5684576, -0.61465454,Running
0.6655881, 0.51235914, 4.232949,2.128931, 3.8354847, -2.4021714,-5.735827, -3.625475, 0.5445156,Running
0.47165772, 1.9800048, 5.6646814,2.198706, 5.7407103, -2.1198764,-11.7691765, -6.425943, 3.8929758,Running
-6.4188547, -0.34237084, 9.41879,1.9249328, 6.430469, -1.7646105,-20.920105, -5.538729, 5.2877173,Running
-16.52478, 0.93613285, 11.197681,1.9259981, 3.5228295, 1.2719258,-4.9671803, -12.860409, 8.518709,Running
-0.82360536, -6.265626, 14.477737,1.4913702, -2.1156151, 4.0970073,3.6207633, -18.843035, 9.124235,Running
8.540117, -12.447454, 14.698004,2.5848641, -4.910869, 4.7276435,3.5472484, -20.639587, 4.730711,Running
9.562442, -14.494497, 9.445126,4.565191, -4.6727824, 4.4064665,-0.6064129, -20.044489, -1.5992286,Running
6.327875, -14.092271, 1.958457,6.1076937, -3.8791604, 4.165184,-2.1654692, -18.577696, -7.3782725,Running
5.4803276, -12.876017, -5.097255,6.7298083, -3.7657099, 4.116182,-3.635964, -14.5101185, -13.271587,Running
4.582502, -9.244013, -12.325351,6.270679, -3.7982004, 3.7071204,-4.700751, -11.180943, -14.343084,Running
3.9097314, -6.4978633, -14.657303,4.65201, -3.942011, 3.2804818,-4.2363286, -9.176451, -11.606029,Running
4.5920787, -5.145139, -13.012486,3.0945933, -3.2921999, 3.1169639,-4.3186145, -6.6228085, -9.90079,Running
4.620809, -3.2561142, -12.119449,1.9590213, -1.9361181, 3.005111,-4.8090816, -4.378246, -9.632445,Running
4.2185836, -1.6472107, -12.318168,0.89535475, -0.72651035, 2.8085697,-6.163384, -3.5461173, -9.109603,Running
2.9616275, -1.3742718, -11.971008,-0.30839407, -0.2657835, 2.4261398,-7.425799, -3.947803, -7.1432595,Running
1.7788919, -2.2026656, -10.041282,-1.5185345, -0.5928197, 2.283927,-2.5670414, -4.9635572, -7.0076723,Running
