acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-0.90740246, 4.9895163, 10.204087,0.084155895, -0.020772656, 0.025566347,0.084572434, -0.3091817, -0.46113348,Sitting
-1.0749966, 5.2385135, 8.858546,0.084155895, -0.020772656, 0.025566347,0.34830117, -0.3692193, 0.17573738,Sitting
-1.3910311, 5.0996494, 7.5848308,0.084155895, -0.020772656, 0.025566347,0.34406865, -0.33430958, -0.011577606,Sitting
-0.9935937, 4.915296, 8.327033,0.084155895, -0.020772656, 0.025566347,0.23254526, -0.26307726, -1.6276755,Sitting
-0.8738836, 4.867412, 8.212111,1.3363743, 0.24607609, -0.2977414,-0.025570393, 0.09319353, -3.006085,Sitting
-0.9672575, 5.1666875, 6.4499793,0.8357, 0.047404267, -0.0974717,-0.493024, 0.43578863, -1.4348145,Sitting
-1.2976574, 5.729325, 4.9176903,0.21678132, -0.4079963, 0.13209279,0.07675815, 0.34592724, -1.1182847,Sitting
-1.7836803, 6.2009826, 6.3925185,-0.08894958, -0.59867865, 0.22530343,0.488523, 0.110441685, -0.17272472,Sitting
-1.1348516, 6.14831, 6.694188,-0.022903185, -0.86020106, 0.22370553,0.83765984, 0.03529215, -0.21192312,Sitting
-0.60333884, 5.9041014, 7.66384,0.22423817, -0.6759103, 0.15180019,-0.44722003, 0.16745901, 0.67627573,Sitting
-0.093373865, 5.829881, 7.644686,0.5725796, -0.3669836, 0.3158509,1.0706999, 0.15800238, 0.4663949,Sitting
-1.2545617, 5.9998693, 8.51857,0.96566224, -0.08362326, 0.6247776,1.267435, -0.07861185, -1.1036143,Sitting
0.5291186, 6.1076083, 8.243237,0.968858, -0.07190535, 0.36218992,0.021848619, 0.83171797, -1.5663328,Sitting
0.81402856, 6.0262055, 6.5577183,0.7957525, -0.060720075, 0.3009372,-0.30303743, 0.56645775, -2.0503569,Sitting
-0.37588966, 7.086837, 5.9759274,0.5640575, -0.07829694, 0.3371562,0.06109254, 0.30360365, -2.0622778,Sitting
-0.6536171, 6.943185, 5.391742,0.31318775, -0.06711166, 0.3435478,0.24134047, 0.122528076, -1.7142081,Sitting
-0.23463176, 6.766014, 5.3079453,0.13102753, -0.08149273, 0.3009372,0.23084305, 0.009655476, -1.2532811,Sitting
0.0, 6.634333, 5.614403,0.06977482, -0.084155895, 0.22530343,0.1316046, 0.042866707, -1.3174782,Sitting
0.04070143, 6.543353, 6.05733,0.05219796, -0.060720075, 0.1454086,0.2879268, 0.13411427, -1.4221635,Sitting
-0.016759412, 6.588843, 5.98311,-0.018642128, 0.013315806, 0.05912218,0.4830188, 0.25546265, -1.7134304,Sitting
0.16759412, 6.6893997, 5.8705826,-0.12836437, 0.028229509, -0.054328486,0.28760839, 0.26692963, -1.0406957,Sitting
0.36870706, 6.8091097, 5.580884,-0.257794, 0.09374327, -0.14221281,0.122277305, 0.2552209, -0.75653934,Sitting
0.16280572, 6.8043213, 6.26802,-0.31638354, 0.11664646, -0.16831179,0.039805204, 0.3272934, -0.57626724,Sitting
-0.033518825, 6.7588315, 6.5816603,-0.35313517, 0.08628642, -0.14487597,0.011451878, -0.016426563, -0.1789875,Sitting
-0.15322891, 6.789956, 6.7971387,-0.40053943, 0.03781689, -0.113983296,0.03152699, -0.14056015, 0.6154723,Sitting
-0.107739076, 6.754043, 6.9144545,-0.38935417, 0.033023197, -0.08362326,0.108820006, -0.1502204, 0.646708,Sitting
-0.045489833, 6.6774287, 7.66384,-0.29614353, 0.077231675, -0.07403588,0.03785597, -0.08947945, 0.23196745,Sitting
0.033518825, 6.6079965, 7.752425,-0.25086978, 0.10013486, -0.07989483,-0.06569185, -0.034091473, -0.2739873,Sitting
-0.04070143, 6.619968, 7.383718,-0.29987195, 0.105993815, -0.08735169,-0.15378034, -0.059550285, -0.14688063,Sitting
-0.1604115, 6.6486983, 6.9024835,-0.396811, 0.10546118, -0.087884314,-0.24093036, -0.16546011, 0.19432259,Sitting
-0.2753332, 6.5816603, 7.067683,-0.41598576, 0.0958738, -0.08149273,-0.12641624, -0.20899534, -0.1386261,Sitting
-0.39025488, 6.4188547, 7.4603324,-0.4048005, 0.08362326, -0.06870956,-0.10834047, -0.259799, -0.3105154,Sitting
-0.30166942, 6.315904, 7.180211,-0.42024684, 0.08149273, -0.07456851,-0.053743646, -0.27854395, -0.68618345,Sitting
-0.30645782, 6.208165, 7.0581064,-0.48149952, 0.083090626, -0.080960095,-0.0012736022, -0.20170498, -1.0054741,Sitting
-0.2753332, 6.133945, 6.730101,-0.5299691, 0.17097494, -0.09267801,0.29119623, -0.44709492, -0.86313915,Sitting
-0.24660277, 6.1530986, 6.459556,-0.67005134, 0.2034655, -0.14807177,0.47830755, -0.59201956, 0.5021496,Sitting
0.011971008, 5.839458, 6.658275,-0.71798825, 0.20399815, -0.2396845,-0.011711925, -0.5451312, 1.337173,Sitting
0.1604115, 5.5976434, 8.101978,-0.505468, 0.17630127, -0.27696875,-0.15468988, -0.24954939, 0.8108282,Sitting
-0.39025488, 5.533, 9.0237465,-0.2428803, 0.18801917, -0.257794,-0.14978835, -0.32916832, 0.5225992,Sitting
-0.59376204, 5.7484784, 8.556877,-0.09267801, 0.15126756, -0.2263687,-0.03630227, -0.3479457, -0.20012522,Sitting
-0.6488287, 5.628768, 8.295909,-0.08735169, 0.11132014, -0.19441076,-0.34330952, -0.3212366, 0.3266387,Sitting
-0.58418524, 5.590461, 7.5848308,-0.2146508, 0.07403588, -0.12836437,-0.15379977, 0.31869888, 0.643415,Sitting
-0.93134445, 5.5976434, 8.123527,-0.33502567, 0.013848438, -0.10972224,-0.026620984, 0.33608103, 0.4293847,Sitting
-0.7685388, 6.2009826, 8.465898,-0.47510794, -0.054328486, -0.11664646,-0.14614707, -0.14214993, 0.9000797,Sitting
-0.6536171, 6.14831, 8.303091,-0.48043427, -0.010652645, -0.09534117,-0.17252797, -0.39068508, 0.8343897,Sitting
-0.7781156, 5.592855, 8.829816,-0.360592, 0.013848438, -0.03834952,-0.29061818, -0.3231101, 0.39259624,Sitting
-0.81402856, 5.2648497, 8.820239,-0.24660872, 0.02609898, 0.053263225,-0.06492174, 0.20175982, 0.66271305,Sitting
-1.0151415, 5.104438, 8.528147,-0.19600865, -0.034088463, 0.11345066,0.11127716, 0.48359776, 0.7178335,Sitting
-0.79487497, 5.5737014, 8.834604,-0.13315806, -0.082558, 0.123038046,0.42427614, 0.2737813, 0.20452309,Sitting
-0.60094464, 5.825093, 8.911219,-0.05752428, -0.070307456, 0.06977482,0.19651374, -0.17011261, 0.16861534,Sitting
-0.260968, 5.595249, 8.413225,0.006924219, -0.1107875, 0.002130529,-0.031641424, -0.16221905, -0.11978531,Sitting
-0.46926352, 5.142745, 8.384495,0.084155895, -0.19121496, -0.015446335,0.07671541, 0.016749382, -0.34243488,Sitting
-0.6679823, 5.145139, 8.101978,0.087884314, -0.19813919, 0.006924219,-0.096773684, 0.20515251, -0.21816349,Sitting
-0.5267244, 5.33907, 7.872135,0.03568636, -0.16298546, 0.025033714,-0.2577808, 0.44136667, 0.31193638,Sitting
-0.6751649, 5.559336, 7.97748,0.004261058, -0.10226539, 0.11664646,0.30786842, 0.03158617, 0.11687279,Sitting
-0.8475474, 5.8322754, 8.4826565,-0.05539375, -0.19707392, 0.1587244,0.7111763, -0.011681557, 0.17322922,Sitting
-0.25139117, 5.427655, 8.286332,-0.1123854, -0.2231729, 0.12463594,0.069734424, 0.32106686, 0.46324825,Sitting
0.20829555, 5.377377, 8.350976,-0.14327806, -0.19547603, 0.080960095,0.27485973, 0.050015926, 0.5605583,Sitting
-0.38067806, 5.693412, 8.655039,-0.111852765, -0.18056233, 0.03888215,-0.02814889, 0.07164812, 0.62062645,Sitting
-0.1316811, 5.398925, 8.76996,-0.0793622, -0.11717909, -0.0026631611,-0.07370895, 0.107666016, 0.5457773,Sitting
-0.39983168, 5.401319, 8.844181,-0.034621093, -0.04261058, 0.004261058,-0.1071718, 0.0692029, 0.2943411,Sitting
-0.4261679, 5.422867, 8.779537,0.010652645, -0.028229509, 0.009054748,-0.22780606, -0.08462238, 0.3720541,Sitting
-0.45250413, 5.377377, 8.532935,0.07137272, -0.10546118, 0.055926383,-0.40140572, -0.07800913, 1.1810284,Sitting
-0.56982, 5.221754, 8.611943,0.19387813, -0.19121496, 0.15233281,-0.07964522, 0.09903908, 0.48725414,Sitting
-0.7278373, 5.2289367, 9.421184,0.4048005, -0.28336033, 0.23595607,-0.13931416, 0.08544922, -0.7476921,Sitting
-0.36631286, 5.427655, 8.714894,0.40266997, -0.4543353, 0.28336033,0.09576084, -0.10570669, -1.0311098,Sitting
-0.35673606, 5.4803276, 7.4387846,0.24714136, -0.5837649, 0.33662358,0.27045316, 0.042953014, -0.66459656,Sitting
-0.016759412, 5.3558292, 7.1131735,0.11930962, -0.5928197, 0.30040458,0.49146366, 0.15952253, -0.62101936,Sitting
0.2896984, 5.544971, 7.45315,0.022903185, -0.48363006, 0.17736652,0.49642682, 0.0734334, -0.5891061,Sitting
