acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-1.9273324, 9.018958, 4.0940847,0.22956449, 0.15339808, -0.00958738,-0.061604023, 0.26118374, 0.12605333,Standing
-2.099715, 8.896853, 4.3023806,0.22956449, 0.15339808, -0.00958738,-0.06684446, 0.08959961, 0.32465506,Standing
-2.111686, 8.683769, 4.582502,0.22956449, 0.15339808, -0.00958738,0.04886365, 0.036623955, 0.46799326,Standing
-1.9608512, 8.571242, 4.8602295,0.22956449, 0.15339808, -0.00958738,0.14464724, 0.17604256, 0.1444521,Standing
-1.7980455, 8.714894, 4.55856,0.27696875, -0.38296258, 0.014913702,0.20193851, 0.3606472, -0.5394919,Standing
-1.6639702, 9.018958, 3.6703112,0.32756883, -0.37017938, 0.1107875,0.39138937, 0.45963573, -0.6852455,Standing
-1.3263878, 9.270349, 3.2632968,0.22690132, -0.32117724, 0.17204021,0.6269852, 0.3797331, -0.23987818,Standing
-0.8499416, 9.28232, 3.5984852,0.10013486, -0.38242993, 0.18056233,0.883188, 0.12109852, 0.17743683,Standing
-0.2633622, 9.0476885, 4.072537,0.019707393, -0.5294364, 0.13795175,0.7816633, -0.10594559, 0.42928123,Standing
-0.074220255, 8.781932, 4.4843397,0.03568636, -0.6247776, 0.103863284,0.64639515, -0.35669994, 0.08572054,Standing
0.023942016, 8.511387, 4.225766,0.07190535, -0.53476274, 0.1304949,0.54096186, -0.4023409, -0.2216649,Standing
0.11492168, 8.480263, 3.9121256,0.072970614, -0.28442562, 0.15233281,0.3223147, -0.42157078, -0.5263753,Standing
0.011971008, 8.513782, 3.502717,0.02876214, 0.022903185, 0.18695392,0.03360197, -0.36595726, -0.5858495,Standing
-0.2705448, 8.631097, 3.3039982,-0.029294772, 0.29561087, 0.2247708,-0.14668459, -0.24787807, -0.58826375,Standing
-0.51475334, 8.815451, 3.1387985,-0.08628642, 0.44581318, 0.2759035,-0.10803911, -0.12762737, -0.26985168,Standing
-0.521936, 8.963891, 3.383007,-0.12463594, 0.4809669, 0.3206446,0.07003319, 0.07284737, 0.0728991,Standing
-0.320823, 9.157822, 3.7445314,-0.105993815, 0.33981937, 0.32756883,0.33920595, 0.16452694, 0.40776062,Standing
-0.016759412, 9.244013, 4.096479,-0.042077947, 0.14114754, 0.27643612,0.33680183, 0.20666409, 0.17787075,Standing
0.021547815, 9.284714, 3.8738184,-0.029294772, 0.0793622, 0.23329292,0.48470208, 0.17685986, 0.39658117,Standing
0.20829555, 9.25359, 4.098873,-0.07456851, 0.08628642, 0.18695392,0.52458894, 0.08222866, 0.6312392,Standing
0.2801216, 9.153033, 4.3502645,-0.10972224, 0.14168017, 0.11611383,0.36675912, 0.11287022, 0.6442523,Standing
0.40940848, 9.062054, 4.654328,-0.112918034, 0.13209279, 0.034088463,-0.01931202, 0.039266586, 0.62076235,Standing
0.050278235, 8.932767, 4.7524905,-0.076166406, 0.12250541, -0.027164243,-0.06867401, -0.0026159286, 0.1676302,Standing
