acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
8.851364, -10.089166, -2.0566192,0.058056913, 0.06391586, 0.0,4.698746, -3.9733534, 1.0457476,Walking
12.081141, -10.216059, 2.6886885,0.058056913, 0.06391586, 0.0,5.3998995, -4.804751, 4.8299522,Walking
12.653356, -10.984597, 7.1466923,0.058056913, 0.06391586, 0.0,4.9638247, -4.49267, 4.146908,Walking
12.100295, -10.623073, 6.9144545,0.058056913, 0.06391586, 0.0,2.4034562, -3.9734907, 1.9830868,Walking
9.320627, -10.295067, 4.8745947,-0.9667275, -1.8887138, 2.9214878,1.3190589, -3.8391886, 0.3519044,Walking
7.955932, -10.608707, 2.861071,-0.6562029, -3.018427, 2.9305425,1.7009678, -4.314484, 0.5315683,Walking
8.066066, -11.494562, 2.5570073,-0.42184472, -3.7518613, 3.128149,2.8970861, -4.9031262, 0.5129349,Walking
8.932767, -12.485762, 2.0111294,-0.049002163, -4.0804954, 3.3220272,4.263887, -4.636949, 0.3327794,Walking
9.885659, -12.607866, 1.3479356,0.35100463, -4.0394826, 3.3923347,5.053879, -4.000287, 0.070657015,Walking
10.189722, -12.330139, 0.7086837,0.6556703, -3.7715688, 3.3214946,5.849545, -3.2285185, -0.008384377,Walking
10.460267, -11.87524, 0.37349546,0.89535475, -3.2533176, 3.2128377,6.8549247, -2.2181587, -1.4204835,Walking
10.922348, -11.137826, -1.163582,0.91133374, -2.3238745, 3.04133,7.157772, -0.5911875, -1.6168699,Walking
10.6877165, -9.737218, -1.3718776,0.6002765, -1.2708606, 2.790993,7.3839426, 0.66105175, -1.1632477,Walking
10.405201, -8.664616, -0.89064306,0.23915187, -0.2727077, 2.442119,8.528042, 0.5326462, -0.8649194,Walking
11.092337, -8.9279785, -0.5626374,-0.060720075, 0.2625877, 1.8546255,8.498932, 0.6502485, -1.1795517,Walking
10.709264, -8.899248, -0.8762778,-0.23702134, 0.330232, 1.176052,7.7849946, -0.060453415, -2.1248646,Walking
9.768343, -9.660604, -1.8531121,-0.6332997, 0.283893, 0.48948902,6.0008116, -0.45057678, -2.1506524,Walking
7.8888946, -10.072407, -1.9895816,-1.1254519, 0.61625546, 0.21891184,5.380534, -0.82164097, -0.2811375,Walking
7.225701, -10.453085, -0.31364042,-1.4780544, 1.5622103, 0.5028048,7.6659102, 0.5663748, 1.1038451,Walking
9.41879, -9.078813, 0.842759,-1.2181299, 2.7361317, 0.88044107,10.472815, 2.3714647, 0.35419923,Walking
12.073959, -7.2951326, -0.050278235,-0.76592517, 3.8764973, 0.7238472,11.399178, 3.9843788, -0.30232292,Walking
12.8927765, -5.6982, -0.7350199,-0.43995422, 4.5236454, 0.1304949,11.777844, 4.7364855, -1.1045307,Walking
13.283031, -4.9464207, -1.4867992,-0.05273059, 4.5859632, -0.6993461,10.86681, 5.109008, -2.5781944,Walking
12.53604, -4.5513773, -2.825158,0.386691, 4.197142, -1.5925703,9.581772, 4.6591926, -5.1954293,Walking
11.568783, -4.9440265, -5.2145715,0.628506, 3.6160402, -2.2642195,7.5180907, 4.4049335, -7.39692,Walking
9.928755, -5.097255, -7.1371155,0.30839407, 3.1835427, -2.6913908,5.3969088, 3.9630547, -8.04043,Walking
8.291121, -5.3941364, -7.553706,-0.4463458, 2.8181572, -2.9411952,3.4624195, 3.5550847, -6.0930324,Walking
6.871359, -5.6215854, -5.511452,-1.2282499, 2.326005, -3.029612,3.8653944, 2.3839583, -3.029057,Walking
7.797915, -6.5840545, -2.4995465,-1.6223978, 1.7752632, -3.0828753,3.4898324, 1.5943875, -0.56394,Walking
7.9511437, -7.129933, -0.17238252,-1.5185345, 1.6335831, -3.3747578,1.007462, 0.9278641, -0.5329796,Walking
6.0357823, -7.4866686, -0.24660277,-1.1813782, 2.1395836, -3.6181707,-2.0668602, 0.4736929, -1.3419511,Walking
3.5434184, -7.563283, -1.0223241,-1.0689929, 3.0498521, -3.375823,-2.6187563, 0.41257954, -1.821431,Walking
3.4955344, -7.237672, -1.3120226,-1.1265172, 4.31006, -2.786199,-2.3415618, 0.32388306, -1.4462817,Walking
4.1299977, -6.991069, -0.5626374,-1.2245215, 5.3423014, -2.2237396,-0.89598703, 0.062300682, 0.34792352,Walking
5.7724204, -6.9886746, 1.757344,-1.0972224, 5.2395034, -2.044775,-0.37313318, -0.007880688, 1.5892265,Walking
6.4020953, -6.8210807, 3.550601,-0.5187838, 4.559332, -2.111354,-0.23325634, -0.3005991, 1.0311439,Walking
6.619968, -6.849811, 3.5434184,0.06657903, 3.5515916, -2.227468,-1.2317004, -0.81010437, -0.6401999,Walking
5.710171, -7.0485296, 2.3702598,0.36911413, 2.8485172, -2.1534321,-1.6611962, -0.69868565, -1.8678023,Walking
5.3582234, -6.612785, 1.5849615,0.32330775, 2.4916537, -1.7816548,-0.8712921, -0.78352594, -2.1811247,Walking
6.172252, -6.423643, 1.6591818,0.08948222, 2.4778051, -1.5116103,-0.3054161, -0.87616587, -1.6316824,Walking
6.706159, -6.2967505, 2.566584,-0.11504856, 2.3414512, -1.3539511,0.34791517, -1.3591676, -0.96456957,Walking
7.299921, -6.600814, 3.5482068,-0.19600865, 1.9190739, -1.3369069,-0.44528437, -1.4831572, -0.87987566,Walking
6.4667387, -6.5577183, 3.8786068,-0.2444782, 1.4386396, -1.226652,-1.3599267, -1.0780869, -0.5248432,Walking
5.535394, -6.007052, 4.4077253,-0.30999196, 1.0657971, -0.90707266,-0.9590483, -1.0092158, -0.49525547,Walking
5.9184666, -5.8442464, 4.5537715,-0.2727077, 0.7520767, -0.45007423,-0.6170597, -1.2562919, 0.49567938,Walking
6.227319, -6.05733, 5.6215854,-0.23116238, 0.27696875, -0.17097494,-0.43984556, -0.26713705, 2.062572,Walking
6.3925185, -5.068525, 7.204153,0.11132014, 0.00958738, 0.2428803,1.114398, 0.54939556, 2.0194325,Walking
7.9224133, -4.27365, 7.1730285,0.6103965, -0.17736652, 0.42397526,2.2550077, 0.45053148, 0.043019295,Walking
9.040505, -4.367024, 5.231331,0.7840346, -0.2615224, 0.2050634,1.8499956, -0.25919104, -1.5455596,Walking
8.643068, -5.023035, 3.6822822,0.5091964, -0.016511599, -0.06711166,1.1499882, -1.4470286, -1.3400941,Walking
7.9511437, -6.14831, 3.9336734,0.018109497, 0.21571605, -0.14008227,0.96812487, -2.337069, 0.89860535,Walking
7.759608, -7.017405, 6.203377,-0.3057309, 0.023435818, -0.018642128,1.3734732, -2.0822034, 3.1028428,Walking
8.1642275, -6.7923503, 8.3821,-0.18588865, -0.3834952, 0.08522116,1.2958317, -1.1006222, 3.2276483,Walking
8.118738, -5.841852, 8.437167,0.12783173, -0.59122175, 0.053795855,0.5932479, 0.07864237, 1.8457236,Walking
7.4723034, -4.656722, 6.9862804,0.28016454, -0.360592, -0.02609898,0.070189476, 1.0399134, 0.39179802,Walking
6.9886746, -3.6631286, 5.509058,0.2130529, 0.112918034, -0.128897,-0.7275543, 1.4263856, -0.6708765,Walking
6.191406, -3.2369606, 4.4819455,0.06498113, 0.45327002, -0.25300032,-1.7096014, 1.3224685, -1.2207227,Walking
5.185841, -3.2992098, 4.000711,-0.06977482, 0.44474792, -0.28655612,-1.7443852, 0.93840194, -0.8684969,Walking
5.130774, -3.6511576, 4.4077253,-0.10013486, 0.16138756, -0.24767399,-1.9223886, 0.78803134, -0.5511217,Walking
4.9583917, -3.7780502, 4.7381253,0.022903185, -0.09267801, -0.20133498,-1.9864073, 0.7554705, -0.7559104,Walking
4.9224787, -3.7804444, 4.522647,0.09427591, -0.21038973, -0.07190535,-2.141961, 0.8074181, -0.5988536,Walking
4.795586, -3.7086184, 4.6591167,0.054328486, -0.07190535, 0.041012682,-2.289472, 0.81458354, -0.747005,Walking
4.6519337, -3.7014358, 4.5058875,-0.05912218, 0.18748654, 0.13422333,-2.4802556, 0.8393829, -0.705359,Walking
4.429273, -3.7014358, 4.5681367,-0.20026971, 0.2609898, 0.20453078,-2.6685953, 0.895942, -0.91217613,Walking
4.1946416, -3.6942532, 4.378995,-0.30146983, 0.06018744, 0.26045716,-2.839281, 0.9562385, -1.527014,Walking
3.9935284, -3.7014358, 3.7445314,-0.4063984, -0.44208476, 0.28229508,-3.4550738, 0.91995573, -2.2759295,Walking
3.3973722, -3.8187518, 2.896984,-0.5629923, -1.2229236, 0.29294774,-4.003276, 0.7755103, -2.9368362,Walking
2.944868, -4.060566, 2.0135236,-0.80107886, -2.269546, 0.39734364,-4.0506096, 0.42385197, -3.0443025,Walking
3.074155, -4.5441947, 1.508347,-1.103614, -3.3768883, 0.56618804,-4.0146823, -0.3030138, -2.2190292,Walking
