acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
1.2837493, 1.7515461, 6.745666,0.87335885, -0.37513658, -0.65834063,0.0, 0.0, 0.0,Jogging
1.4416757, 1.9812572, 6.8677,0.87335885, -0.37513658, -0.65834063,0.043278575, 0.07928479, 0.07751799,Jogging
1.7769699, 2.0291135, 7.2006016,0.87335885, -0.37513658, -0.65834063,0.21195245, 0.05824113, 0.2895608,Jogging
2.2268205, 2.1155543, 7.3369923,0.4514925, -0.66101307, -0.45065257,0.45906913, 0.09295797, 0.3325572,Jogging
2.1717856, 2.3979075, 7.5981092,0.21417832, -0.569386, -0.40300646,0.28094316, 0.30118418, 0.48541164,Jogging
2.0018952, 2.6446671, 7.8780694,0.06322269, -0.47836977, -0.3816268,0.032767415, 0.4776795, 0.64790344,Jogging
2.6721847, 2.6156542, 8.349754,-0.075286925, -0.46126604, -0.26495498,0.52439713, 0.40690184, 0.97485685,Jogging
3.3783665, 2.551048, 8.679964,-0.20883341, -0.5425087, -0.0981937,0.97874904, 0.30178547, 1.1707687,Jogging
4.0441694, 2.5414767, 8.110173,-0.193944, -0.657348, -0.04382829,1.3561106, 0.24748135, 0.5725393,Jogging
4.005884, 2.9509485, 6.9825554,-0.051692948, -0.80944896, -0.11163234,1.0920346, 0.6032374, -0.46899366,Jogging
3.534199, 3.3005998, 6.273981,0.020387027, -0.8748096, -0.22341739,0.4876697, 0.92621136, -1.0589571,Jogging
3.7208393, 3.1710882, 6.9849486,-0.16599774, -0.77035475, -0.20631365,0.5432737, 0.8099544, -0.31261635,Jogging
4.5541396, 2.5534408, 7.7464643,-0.47165045, -0.5901548, -0.049325917,1.1822176, 0.2344675, 0.4350648,Jogging
5.126323, 2.0171494, 7.7201433,-0.5728984, -0.5461738, 0.0697893,1.5238447, -0.26884127, 0.42543268,Jogging
4.862814, 2.0315065, 7.3106713,-0.41636875, -0.65795887, 0.03436016,1.0383668, -0.2657869, 0.09394646,Jogging
4.7431726, 1.6630118, 6.4199433,-0.11942064, -0.8149466, -0.07131642,0.68189335, -0.64843047, -0.631176,Jogging
5.1406803, 0.7962117, 5.541478,0.1731752, -1.0641723, -0.078646585,0.7912369, -1.5018623, -1.2605948,Jogging
5.7320065, -0.15164514, 4.785047,0.4298074, -1.3489034, 0.04046863,1.0257277, -2.4120257, -1.6821008,Jogging
5.9545393, -0.654437, 4.2535415,0.7242358, -1.6695982, 0.22311196,0.8232322, -2.8610811, -1.7811656,Jogging
5.5259247, -0.25244278, 3.6430724,1.0665393, -2.1167386, 0.40636614,-0.064778805, -2.3805318, -1.8492236,Jogging
5.234, 0.34366915, 2.4481566,1.3150778, -2.8479226, 0.59756136,-0.7974868, -1.6367342, -2.4145665,Jogging
5.858826, 1.2726825, 1.5768701,1.2653701, -3.7000546, 0.926808,-0.5658312, -0.4795766, -2.674623,Jogging
7.3959155, 2.4122643, 1.5002998,0.8888591, -4.1210046, 1.374559,0.62534857, 0.9431406, -2.2611778,Jogging
9.380463, 3.324528, 3.039483,0.22662434, -3.87972, 1.8449878,2.2901754, 2.1413305, -0.41876006,Jogging
10.826625, 4.6316075, 5.6324053,-0.5803813, -3.13441, 2.1662934,3.4428477, 3.660714, 2.2901447,Jogging
11.235798, 6.391229, 7.5547395,-1.2314681, -2.3354218, 2.1614068,3.608748, 5.526706, 4.1895685,Jogging
11.175978, 8.423932, 8.373683,-1.558195, -1.7196877, 1.8657566,3.3672962, 7.5555534, 4.8782015,Jogging
11.513664, 9.776475, 9.7501545,-1.761378, -1.1803097, 1.4705384,3.5665355, 8.796516, 6.0000415,Jogging
11.968599, 10.025628, 12.063116,-2.028471, -0.5718294, 1.026987,3.9189034, 8.824535, 7.9283457,Jogging
11.410773, 9.956236, 14.0907345,-2.208671, -6.8720314E-4, 0.40514445,3.3230247, 8.4310665, 9.49258,Jogging
10.4362955, 9.783653, 14.82563,-2.0105274, 0.41652146, -0.35719293,2.3799276, 7.8383207, 9.766289,Jogging
10.503295, 9.376874, 14.82563,-1.4190745, 0.65291935, -0.9552124,2.503891, 6.896186, 9.3770485,Jogging
11.262119, 8.364112, 13.3175535,-0.5871769, 0.74576813, -1.3492852,3.34064, 5.2410455, 7.6056156,Jogging
11.286346, 7.289136, 10.947463,0.34902287, 0.6474217, -1.7707698,3.5031958, 3.4616165, 5.10586,Jogging
11.22862, 6.448657, 8.785547,1.1709179, 0.56862247, -2.274108,3.641893, 1.9142947, 2.9247432,Jogging
11.738589, 5.27079, 6.9035926,1.7101432, 0.5875587, -2.665661,4.3962007, 0.07130718, 1.0955353,Jogging
12.669996, 3.6044881, 5.8501525,1.9151589, 0.5967214, -2.8849552,5.6310825, -2.2157934, 0.12692118,Jogging
12.899707, 1.9884356, 5.445765,1.9462358, 0.702398, -3.0321693,6.213029, -4.417254, -0.12811947,Jogging
12.514462, 0.61914283, 5.1296134,2.0991004, 1.0041566, -3.1842704,6.160198, -6.3237305, -0.15137386,Jogging
