acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
0.28055847, 2.0629122, 9.364909,-0.33688226, 0.010308048, -0.20631365,0.0, 0.0, 0.0,Jumping
0.32841492, 2.0291135, 9.496515,-0.33688226, 0.010308048, -0.20631365,0.06485951, -0.04550612, 0.12640572,Jumping
0.40498522, 1.9190438, 9.75494,-0.13117945, 0.27052897, 0.11071607,0.02154097, -0.054994702, 0.26642704,Jumping
0.3164508, 1.8807586, 10.030414,-0.0988809, 0.30901235, 0.1137703,-0.04050672, -0.04872465, 0.1466484,Jumping
0.18484555, 1.8831514, 9.958629,-0.003206948, 0.32000762, 0.11560284,-0.121355765, -0.027577996, -0.13446236,Jumping
0.019441685, 1.9094725, 9.642477,0.06757498, 0.31512082, 0.11193776,-0.115328446, -0.023920536, -0.17938232,Jumping
-0.04516453, 1.9142581, 9.561121,0.06513159, 0.30351472, 0.11682454,0.010793079, -0.08537209, -0.117157936,Jumping
0.040977087, 1.8376877, 9.604192,0.032145835, 0.27052897, 0.113159455,0.10815426, -0.12666833, -0.08670139,Jumping
0.11545369, 1.7730815, 9.623335,-0.0045049987, 0.23326729, 0.075286925,0.10303282, -0.17856228, 0.048092842,Jumping
0.093918286, 1.6965113, 9.764511,-0.027488127, 0.20700087, 0.023975754,0.052596804, -0.21479571, 0.18896961,Jumping
0.031405795, 1.6438692, 9.925129,-0.012522369, 0.15080291, -0.0151184695,0.08942102, -0.26943564, 0.13343143,Jumping
0.06281159, 1.579263, 9.879665,0.039017867, 0.08788565, -0.024281178,0.1275601, -0.27777207, -0.06520367,Jumping
0.096311115, 1.564906, 9.671191,0.08872557, 0.074447006, -0.011453386,0.2146091, -0.2534932, -0.18108559,Jumping
0.18723837, 1.5840486, 9.537193,0.10048437, 0.08483142, 1.5271181E-4,0.32629743, -0.247913, -0.19729137,Jumping
0.31405798, 1.5816557, 9.503694,0.08376243, 0.07261447, -0.0022906773,0.30734083, -0.24770999, -0.29933643,Jumping
0.3044867, 1.5696917, 9.379267,0.058259558, 0.046958882, -0.02611372,0.15682727, -0.18617713, -0.36120892,Jumping
0.14895321, 1.6199409, 9.293125,0.0290916, 0.05856498, -0.03955236,-0.022080619, -0.17429543, -0.26082993,Jumping
-0.04516453, 1.6223338, 9.376874,0.0061084726, 0.08055548, -0.0071774554,-0.016125053, -0.16341257, -0.12543297,Jumping
-0.04995017, 1.6295122, 9.503694,0.007330167, 0.08238802, 0.055739813,0.06375253, -0.147897, -0.096738815,Jumping
0.031405795, 1.6462619, 9.5252285,0.030924143, 0.07200362, 0.10827268,0.030510793, -0.03363228, -0.15206242,Jumping
