acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
0.1058824, -0.84137625, 9.855738,-0.5581617, -0.015729317, 0.21753798,0.0, 0.0, 0.0,Lying
0.7283154, -0.017647067, 8.780762,-0.5581617, -0.015729317, 0.21753798,0.24742085, 0.3577328, -0.5406933,Lying
1.0776675, 0.6550352, 8.653643,0.72477025, -0.7347729, -0.19111884,0.34041494, 0.6393136, -0.44355583,Lying
1.7407784, 0.35324043, 9.067901,0.5576272, -0.65414107, -0.066506,0.7086896, 0.21130751, -0.01812172,Lying
1.8631115, -0.2835495, 9.714262,0.39613444, -0.47508645, 0.09048175,0.63965714, -0.39223927, 0.5065031,Lying
1.6163517, -0.5276174, 10.305588,0.3345916, -0.32726142, 0.25174543,0.3313954, -0.60395396, 0.91558456,Lying
1.7769699, -0.6089734, 9.980165,0.40667155, -0.16783029, 0.37452573,0.45156026, -0.6764252, 0.50286674,Lying
1.7937196, -0.051146585, 9.369696,0.5544966, 0.033749312, 0.49547347,0.4203329, -0.181182, -0.094732285,Lying
1.8774685, 0.4109673, 8.960223,0.6315397, 0.19684553, 0.5058579,0.41247642, 0.20104975, -0.44205284,Lying
1.815255, 0.39661035, 8.780762,0.5271612, 0.069178455, 0.3714715,0.26744485, 0.14624271, -0.55135536,Lying
1.5086746, 0.2551347, 8.88126,0.31473905, -0.21364383, 0.13812783,-0.06516969, 0.0060727447, -0.40488052,Lying
1.4081762, 0.34606197, 9.608977,0.124001995, -0.28877804, -0.044515494,-0.17091429, 0.09208685, 0.29917336,Lying
1.9564316, 0.401396, 9.987343,-0.015194826, -0.17943639, -0.035352785,0.32410908, 0.12623873, 0.62973785,Lying
2.5645077, 0.61435723, 9.73819,-0.0051922016, -0.11163234, 0.07887565,0.83581233, 0.30240595, 0.35919,Lying
2.7535408, 0.8536395, 9.082257,0.06872032, -0.14156385, 0.06910209,0.94329274, 0.5110072, -0.27471542,Lying
2.344368, 0.6023931, 8.59143,0.058106847, -0.17760384, -0.09155073,0.51479065, 0.28063095, -0.72169113,Lying
1.3674982, 0.40378883, 9.168399,-0.08162446, -0.0865876, -0.2735832,-0.42088318, 0.13679272, -0.14078522,Lying
1.1856437, 0.14027923, 9.317053,-0.28167695, 0.07101099, -0.33955473,-0.56695855, -0.04722148, 0.004989624,Lying
1.5062819, 0.0038883367, 9.479765,-0.38605547, 0.074676074, -0.20028155,-0.23810971, -0.09910454, 0.15869236,Lying
1.8535402, 0.037387855, 9.412766,-0.43454146, 0.01175881, -0.08116633,0.09709656, 0.010705128, 0.087786674,Lying
