acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-0.55752766, 3.6355948, 11.081461,0.34092912, 0.5606814, 0.1253764,0.0, 0.0, 0.0,Running
2.981158, 1.8927227, 10.7126665,0.34092912, 0.5606814, 0.1253764,1.6127771, -0.9846933, -0.15159893,Running
5.1646085, 0.51146585, 8.172686,0.45836452, -1.3550119, 0.70140535,2.322706, -1.7575397, -1.7149038,Running
1.9827527, 2.2160528, 7.219744,1.0342407, -1.3592879, 0.2481567,-0.929445, -0.23761392, -1.864059,Running
1.1856437, 2.0338993, 5.215755,1.2113101, -1.5938532, -0.43354884,-1.7035612, -0.5188043, -2.9302611,Running
2.6315067, 1.1195419, 4.275077,1.2454412, -2.0776443, -0.4097258,-0.5427456, -1.3637913, -3.0440273,Running
4.5708895, -0.063110694, 3.7005002,1.2355149, -2.3366435, -0.18371232,0.8660722, -2.3422866, -2.8896632,Running
6.07418, -1.27687, 2.5633113,1.2734638, -2.5082915, -0.038941514,1.7236891, -3.2354932, -3.266407,Running
7.000801, -3.1827533, 1.1099706,1.3137797, -2.7361376, -0.009009997,1.9748211, -4.6071434, -3.8743877,Running
7.718947, -5.3183475, -0.29790643,1.1858072, -3.1191387, 0.11010522,2.0569558, -5.975933, -4.378858,Running
8.30788, -5.351847, -0.613759,0.89573115, -3.638359, 0.6409315,2.1210465, -5.25195, -3.8693104,Running
9.4737835, -5.4403815, -1.4542379,0.5435014, -3.9145384, 1.4949723,2.804606, -4.5944247, -3.8532658,Running
9.253643, -4.473083, -1.0304092,0.29183227, -3.810618, 2.2249348,2.2703786, -2.9494698, -2.5916638,Running
9.533604, -2.3398814, -0.71425754,-0.040544987, -4.0861864, 2.636035,2.38582, -0.26545596, -1.4953374,Running
11.911172, 0.21445672, 1.416551,-0.48783788, -4.6231213, 3.1173825,4.57949, 2.65042, 1.1094928,Running
15.090336, 4.3444686, 3.6933217,-1.1754992, -4.5492086, 3.668367,7.423904, 6.7788086, 3.5836887,Running
14.563616, 11.6847515, 10.327124,-1.9048508, -3.3408763, 3.8326848,6.6052895, 13.598731, 10.069789,Running
13.900505, 18.866808, 23.121246,-2.9131305, -1.9841846, 3.1369298,5.6741486, 19.869423, 22.065382,Running
21.408585, 22.814667, 30.871002,-3.626982, -1.9762436, 2.2707484,12.458723, 22.567759, 28.516874,Running
25.327728, 25.735704, 28.268507,-2.792641, -2.4899662, 1.644019,15.589947, 23.88561, 24.560575,Running
20.391037, 25.896025, 23.746073,-1.2333006, -1.614622, -0.11224318,10.41322, 22.336874, 18.735956,Running
16.550856, 21.218056, 22.714169,-0.5480827, 0.32794863, -2.114677,6.773679, 16.048964, 16.582937,Running
