acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-0.37537405, 1.7778672, 9.675977,0.02535016, -0.27923355, -0.054212693,0.0, 0.0, 0.0,Sitting
-0.5383851, 1.6247265, 9.896416,0.02535016, -0.27923355, -0.054212693,-0.032494485, -0.031375766, 0.10417652,Sitting
-0.41365921, 1.5361922, 9.999307,-0.4710396, 0.37315133, 0.19989976,0.14933771, -0.019393444, 0.13325882,Sitting
-0.5024927, 1.5433706, 10.633704,-0.48653984, 0.5576272, 0.24021569,0.15150297, 0.057878256, 0.5723114,Sitting
-0.37776688, 1.2008978, 10.262517,-0.4890596, 0.7329404, 0.28236416,0.3447748, -0.15026367, 0.1589489,Sitting
-0.023629123, 1.2320045, 10.925629,-0.48096585, 0.7756997, 0.3037438,0.6916409, -0.034161925, 0.6851444,Sitting
-0.31316066, 0.8129615, 11.363813,-0.5076904, 0.82090235, 0.25365433,0.44467834, -0.36355966, 0.967329,Sitting
-0.38733816, 0.62153566, 11.07189,-0.4088859, 0.68468344, 0.19073705,0.40842962, -0.50535446, 0.59962654,Sitting
-0.49262238, 0.63828546, 11.129317,-0.15981291, 0.60649496, 0.20600824,0.29718435, -0.5017393, 0.5937319,Sitting
-0.10737792, 0.49950173, 11.112568,0.090558104, 0.5008184, 0.25121093,0.5376422, -0.6870022, 0.526433,Sitting
0.58683974, 0.58564335, 10.954641,0.3465031, 0.18439952, 0.29152685,0.9074509, -0.6912001, 0.34167576,Sitting
0.6589235, 0.82013994, 9.84138,0.5801522, -0.3910186, 0.18951537,0.6118006, -0.5699278, -0.69231033,Sitting
0.20398813, 1.2152548, 8.469396,0.7715001, -1.1350305, -0.078646585,-0.10616414, -0.2773981, -1.8849735,Sitting
0.37627137, 1.2870395, 8.04796,0.79753745, -1.5352119, -0.28633466,-0.10207257, -0.25372744, -2.1260328,Sitting
0.93649095, 1.3396816, 8.287541,0.6037462, -1.3519577, -0.25518143,0.35492992, -0.20450604, -1.7545843,Sitting
1.422533, 1.3229318, 8.735298,0.3284831, -0.8858049, -0.12507097,0.78324884, -0.19310379, -1.2271023,Sitting
1.4033905, 1.2535399, 9.352945,0.08620582, -0.4026247, -0.08231167,0.74824953, -0.21977508, -0.57951355,Sitting
0.9939187, 1.2774682, 9.855738,-0.08712209, -0.05260922, -0.16233265,0.36473602, -0.15981197, -0.079024315,Sitting
0.8766704, 1.0118649, 9.757333,-0.1641652, 0.12026055, -0.2509055,0.30824965, -0.38337886, -0.17508316,Sitting
0.6684948, 1.157827, 10.200304,-0.15355173, 0.20333578, -0.26800925,0.17468208, -0.22124672, 0.24961662,Sitting
0.7115656, 1.1123635, 10.2266245,-0.12560546, 0.3548259, -0.31199023,0.28677833, -0.26588476, 0.26085663,Sitting
0.19202402, 1.3827524, 9.961021,-0.040544987, 0.3835357, -0.33398074,-0.14138797, -0.017846465, -0.0046577454,Sitting
-0.43280178, 1.7252251, 9.778868,0.046500746, 0.37376216, -0.38040513,-0.6761327, 0.28895617, -0.17718887,Sitting
-0.526421, 1.5337993, 9.17797,0.10544751, 0.38231403, -0.36085802,-0.698765, 0.085333824, -0.74538994,Sitting
-0.60059845, 1.5026926, 9.11815,0.106745556, 0.26686388, -0.25945738,-0.72168994, 0.054500937, -0.7737236,Sitting
-0.7298109, 1.4306089, 9.4534445,0.039017867, 0.18134528, -0.17393875,-0.82428986, -0.01941526, -0.42120266,Sitting
-0.5814559, 1.2918252, 9.568299,-0.014431266, 0.09765921, -0.07742489,-0.6476751, -0.16178799, -0.2935896,Sitting
-0.40648076, 1.1554343, 9.096615,0.015423893, -0.025121093, 0.04963134,-0.42160347, -0.2823186, -0.73884296,Sitting
-0.4639085, 1.5122639, 9.384052,0.051463883, 0.035352785, 0.1253764,-0.41232747, 0.09509897, -0.43929577,Sitting
-0.5240282, 1.5984055, 9.252447,-0.027488127, 0.20822255, 0.16202724,-0.3649602, 0.22074437, -0.5574703,Sitting
-0.5072784, 1.6438692, 9.321838,-0.12499462, 0.29862794, 0.20173231,-0.19192296, 0.3272015, -0.4783497,Sitting
-0.87338024, 1.7754744, 9.731011,-0.24617144, 0.52097636, 0.2133384,-0.349581, 0.52737415, -0.069496155,Sitting
-1.1512468, 1.7371893, 10.260124,-0.37788537, 0.80563116, 0.2005106,-0.40098518, 0.5518986, 0.44944477,Sitting
-1.1895319, 1.7443677, 10.6815605,-0.4530196, 1.0524135, 0.2041757,-0.23413712, 0.5984794, 0.8552551,Sitting
-1.4359927, 1.6103697, 10.829915,-0.42820394, 1.134267, 0.18462859,-0.33554304, 0.48009682, 0.9853697,Sitting
-2.134996, 1.5409778, 10.595419,-0.3014531, 1.0328664, 0.03191677,-0.9458494, 0.40130496, 0.73655987,Sitting
-2.3841486, 1.6103697, 10.190733,-0.14423631, 0.6907919, -0.09758285,-1.1575038, 0.43852222, 0.32586765,Sitting
-2.0488544, 1.3516457, 9.850952,-0.0013744063, 0.31023404, -0.08231167,-0.8278315, 0.14134014, -0.012974739,Sitting
-1.8000008, 1.212862, 9.668798,0.10796725, 0.022524992, -0.036498122,-0.60929537, -0.039903164, -0.19014168,Sitting
-1.5173486, 1.023829, 9.654441,0.18004723, -0.14423631, -0.0022906773,-0.3770845, -0.27141523, -0.20004368,Sitting
-1.0504491, 0.8321041, 9.687941,0.21730891, -0.23280916, 0.0581832,0.011796474, -0.5028686, -0.16406727,Sitting
-0.5455636, 0.6861419, 9.87488,0.24212459, -0.29572642, 0.10888352,0.3925873, -0.6908425, 0.018650055,Sitting
-0.26051855, 0.66699934, 10.037592,0.25953373, -0.3873535, 0.10582929,0.49261287, -0.7596651, 0.17209339,Sitting
-0.095413804, 0.69092757, 9.652048,0.2987043, -0.58648974, 0.050853033,0.42874545, -0.7840282, -0.21285152,Sitting
0.024227329, 0.78424764, 9.0798645,0.35276428, -0.89924353, -0.031000499,0.3196212, -0.7220674, -0.7695675,Sitting
0.03619144, 0.86560357, 8.862118,0.35024455, -1.1466366, -0.10430217,0.13954265, -0.6458502, -0.9667902,Sitting
0.43848476, 0.9592228, 9.08465,0.25082916, -1.1582427, -0.09269607,0.38830295, -0.5393012, -0.7289686,Sitting
1.0800604, 1.0812567, 9.587442,0.101171575, -0.9768211, 0.003206948,0.9029472, -0.4057603, -0.22079563,Sitting
1.0561321, 1.3731811, 9.860523,-0.0075592347, -0.7477534, 0.02519745,0.77053577, -0.11295521, 0.05337143,Sitting
0.4671986, 1.7252251, 9.972985,-0.01565296, -0.5730511, -0.08903099,0.086690515, 0.22995782, 0.16631222,Sitting
0.27098715, 1.835295, 10.047163,0.0041995747, -0.5076904, -0.18187977,-0.1863589, 0.32572496, 0.24037457,Sitting
0.35473597, 1.8568304, 10.121341,0.017867282, -0.50463617, -0.13667707,-0.14944816, 0.32957375, 0.31264782,Sitting
0.61794645, 1.8496519, 10.090234,0.039017867, -0.4246152, -0.042606596,0.097384095, 0.30348074, 0.2789688,Sitting
0.6684948, 1.9286151, 9.994521,0.059481252, -0.25541052, 0.022143213,0.15088004, 0.36397493, 0.18130589,Sitting
0.48873404, 1.9238294, 9.81506,0.06879667, -0.07337803, 0.017256435,-0.01368615, 0.34269464, 0.0025568008,Sitting
0.48394838, 1.8424734, 9.687941,0.059481252, 0.028633466, -0.018172706,0.001486063, 0.24393082, -0.121040344,Sitting
