acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-8.04138, -7.5472617, -1.4709877,0.1899735, 0.13247749, -0.1085781,0.0, 0.0, 0.0,Standing
-7.9887376, -7.666903, -1.250549,0.1899735, 0.13247749, -0.1085781,0.017203808, -0.05890894, 0.15384984,Standing
-7.8667035, -7.3746796, -0.81236327,0.1899735, 0.13247749, -0.1085781,0.0769434, 0.16270399, 0.44461626,Standing
-7.7108707, -6.623034, -0.37208393,-0.31076854, 0.26258796, -0.07070557,0.1591239, 0.6965785, 0.69539183,Standing
-7.3950186, -5.9001026, -0.36729828,-0.21753798, 0.27052897, -0.1085781,0.37026453, 1.1450577, 0.5683055,Standing
-7.129116, -5.5241303, -0.695115,-0.054212693, 0.21860696, -0.100637086,0.52655077, 1.2720652, 0.19410592,Standing
-6.9759755, -5.469095, -1.0375878,0.060779303, 0.12270394, -0.06765133,0.5841074, 1.1369305, -0.13489395,Standing
-6.7869425, -5.734699, -1.4279169,0.085594974, 0.029244313, -0.02611372,0.6775422, 0.7600498, -0.45116627,Standing
-6.669395, -6.096314, -1.7940187,0.060779303, -0.006795676, 0.01175881,0.70320845, 0.3520069, -0.6871332,Standing
-6.791728, -6.3717875, -1.762912,0.0104607595, 0.07322531, 0.018478129,0.51521826, 0.0652585, -0.51927626,Standing
-6.9759755, -6.625427, -1.4159528,-0.07780667, 0.23571068, 0.006872032,0.29023933, -0.17801237, -0.06399536,Standing
-7.0812597, -6.7498536, -0.8748758,-0.18837002, 0.38170317, -4.5813544E-4,0.15854979, -0.28585577, 0.5331642,Standing
-6.980761, -6.7115684, -0.3481557,-0.3101577, 0.43667942, -0.004123219,0.22774649, -0.23396873, 1.059558,Standing
-6.8395844, -6.4698935, 0.12352947,-0.41323817, 0.36704284, -0.014507622,0.33211756, 0.0077471733, 1.4725238,Standing
-6.815656, -6.1920266, 0.38703907,-0.46485478, 0.20455748, -0.051769305,0.32511997, 0.2719574, 1.6318156,Standing
-6.686444, -5.837889, 0.31286156,-0.42820394, 0.0011453386, -0.08903099,0.42141676, 0.5965586, 1.437374,Standing
-6.4612193, -5.536094, -0.14925231,-0.30580541, -0.18760647, -0.100026235,0.60436296, 0.8567953, 0.87752056,Standing
-6.413363, -5.4834523, -0.82911307,-0.1281252, -0.2902288, -0.093917765,0.6101289, 0.8712058, 0.14992076,Standing
-6.6888366, -5.7227345, -1.4709877,0.03840702, -0.27312508, -0.08108997,0.30862236, 0.6100049, -0.47897476,Standing
-7.2248287, -6.27099, -2.0814567,0.12720895, -0.16500512, -0.07559235,-0.22760057, 0.06674719, -1.0071793,Standing
-8.055737, -7.058827, -2.0838494,0.110487, -6.8720314E-4, -0.072538115,-1.0186305, -0.68630075, -0.8957826,Standing
-8.749954, -7.7530446, -1.5906289,-0.013820419, 0.20089239, -0.06398625,-1.6406488, -1.3269196, -0.30526102,Standing
-8.802596, -7.85115, -0.8315059,-0.15851486, 0.35910183, -0.027335415,-1.618341, -1.3755722, 0.48747957,Standing
-8.33809, -7.3986077, -0.19710876,-0.26045, 0.3639886, 0.023364907,-1.1000156, -0.8905835, 1.0728482,Standing
-7.584051, -6.5751777, -0.017647067,-0.33810395, 0.09582666, 0.030695075,-0.32590723, -0.05927849, 1.1398282,Standing
-6.9759755, -5.7466626, -0.43429732,-0.38468108, -0.3635305, -0.026724568,0.27322197, 0.75442886, 0.5949601,Standing
-6.53779, -5.461917, -1.0447662,-0.3598654, -0.78135, -0.09880454,0.67702866, 1.0257154, -0.12216163,Standing
-6.291329, -5.5337014, -1.7557336,-0.25670856, -0.9639933, -0.14828317,0.86963034, 0.9535632, -0.8806845,Standing
-6.406184, -5.5887365, -2.0958135,-0.104531236, -0.87664217, -0.19592926,0.69887304, 0.90404415, -1.2071593,Standing
-6.8300133, -5.677271, -1.8681962,0.007330167, -0.55961245, -0.24662958,0.23505402, 0.8200445, -0.9333993,Standing
-7.409375, -5.9527445, -1.5499508,0.096132085, -0.123467505, -0.2582357,-0.35910416, 0.5485678, -0.550052,Standing
-7.6941214, -6.4675007, -1.2529417,0.17378604, 0.26136628, -0.21425468,-0.64655685, 0.04657173, -0.17775488,Standing
-7.845168, -6.8048887, -1.0495518,0.21608722, 0.53624755, -0.13056861,-0.7913799, -0.27641153, 0.10574651,Standing
-7.938488, -6.936793, -0.78843504,0.20799349, 0.69690037, -0.072538115,-0.86731625, -0.40128517, 0.43491358,Standing
-7.77787, -6.9894347, -0.44626144,0.13033953, 0.72377765, -0.022448637,-0.6863675, -0.4517727, 0.8093967,Standing
-7.375876, -7.092326, -0.067896344,0.021608721, 0.6083275, 0.042301174,-0.2752304, -0.5439544, 1.1728649,Standing
-7.0932236, -7.1042905, -0.3696911,-0.023135839, 0.38170317, 0.075897776,0.0037112236, -0.5361738, 0.8419493,Standing
-6.7797637, -6.8336024, -0.75972116,-0.01007898, 0.12514733, 0.032527618,0.29802132, -0.24492931, 0.42950094,Standing
-6.7989063, -6.6684976, -1.0519446,0.039628714, -0.0055739814, -0.027946262,0.25421, -0.058149338, 0.12951696,Standing
-7.074081, -6.434001, -0.98016,0.10048437, 0.017027367, -0.08414421,-0.037555695, 0.19060087, 0.19361162,Standing
-7.385447, -6.381359, -0.9275179,0.17073181, 0.12697987, -0.115908265,-0.35032225, 0.24905062, 0.23424649,Standing
-7.4380894, -6.321239, -0.9610174,0.24212459, 0.20761171, -0.096972,-0.39409542, 0.30432034, 0.18428957,Standing
-7.3304124, -6.417251, -0.9610174,0.31420457, 0.25159273, -0.03466558,-0.27328777, 0.20039368, 0.15950835,Standing
-7.2009006, -6.5775704, -1.0136595,0.3676537, 0.26014456, 0.039857782,-0.13268661, 0.035997868, 0.071400404,Standing
-6.964011, -6.7426753, -1.2074782,0.3757474, 0.20150323, 0.08506048,0.105680466, -0.124697685, -0.15418339,Standing
-6.942476, -6.572785, -1.8825532,0.31611344, 0.05245651, 0.072232686,0.12772465, 0.043578625, -0.82881796,Standing
-7.1219373, -6.6565337, -2.117349,0.20547375, -0.061161082, 0.019088976,-0.0447073, -0.047025204, -1.0331609,Standing
-7.145866, -6.8024955, -1.8897316,0.08498412, -0.049554985, 0.017867282,-0.059755802, -0.2011013, -0.76451826,Standing
-7.1195445, -6.8407807, -1.6624135,-0.07406523, -0.012904149, 0.04535541,-0.026119232, -0.24780989, -0.49051833,Standing
-7.1506515, -6.902994, -1.3941183,-0.18462859, 0.007253811, 0.06001574,-0.05185461, -0.31563997, -0.17807424,Standing
-7.2418776, -6.7761745, -1.0208379,-0.23616882, 0.04146126, 0.059404895,-0.13552856, -0.19606018, 0.22441328,Standing
-7.263413, -6.5344996, -0.8243274,-0.21135315, 0.09582666, 0.050853033,-0.14553976, 0.03164339, 0.43363488,Standing
-7.198508, -6.410073, -0.9849456,-0.093917765, 0.15324631, 0.06429167,-0.06762314, 0.1377182, 0.28211343,Standing
-7.071688, -6.4052873, -1.2385849,0.05207473, 0.20150323, 0.10582929,0.06921053, 0.12514067, 0.041547537,Standing
-6.940083, -6.42443, -1.4638093,0.16011834, 0.24976017, 0.14125843,0.20518017, 0.09179115, -0.16210818,Standing
-6.8946195, -6.417251, -1.5547365,0.2048629, 0.2876327, 0.14370182,0.25167513, 0.086577415, -0.22571528,Standing
-6.9185476, -6.4938216, -1.5475581,0.18745375, 0.30229303, 0.12293301,0.22681761, 7.2288513E-4, -0.18720019,Standing
-6.990332, -6.5608206, -1.5092729,0.12972869, 0.2839676, 0.10094251,0.15296173, -0.07267666, -0.114248276,Standing
-7.0764737, -6.5703917, -1.384547,0.05390727, 0.24853848, 0.075897776,0.06461334, -0.08706093, 0.043766618,Standing
-7.1674013, -6.5368924, -1.2074782,-0.024968382, 0.2100551, 0.04963134,-0.02607727, -0.05785799, 0.24387038,Standing
-7.27777, -6.4531436, -1.1644074,-0.08773294, 0.16485241, 0.027640838,-0.12944794, 0.01615858, 0.30594444,Standing
-7.368697, -6.39093, -1.1237293,-0.1281252, 0.10743276, 0.019088976,-0.20718145, 0.063066006, 0.3620926,Standing
-7.4309106, -6.4124656, -1.0399805,-0.15294088, 0.07200362, 0.03436016,-0.2516923, 0.025194645, 0.4534471,Standing
-7.344769, -6.4866433, -1.0208379,-0.14797775, 0.065284304, 0.06306998,-0.15194464, -0.0601058, 0.47283316,Standing
-7.1889367, -6.5703917, -1.0112667,-0.11010522, 0.06589515, 0.08689302,0.00813055, -0.14622593, 0.47486758,Standing
-7.220043, -6.5464635, -0.9131609,-0.06284091, 0.06100837, 0.0801737,-0.018558979, -0.12137699, 0.54984164,Standing
-7.2344003, -6.51775, -0.90358967,-0.018172706, 0.046348035, 0.048409645,-0.027803421, -0.08991289, 0.5223915,Standing
-7.14108, -6.477072, -1.102194,0.033443887, -7.635591E-5, 0.030084228,0.06631136, -0.045117855, 0.28676212,Standing
-7.1889367, -6.4005013, -1.3558332,0.0787993, -0.06421532, 0.018478129,0.02085638, 0.032580853, 0.0059559345,Standing
-7.2248287, -6.393323, -1.5906289,0.10796725, -0.09475768, 0.003206948,-0.010872841, 0.038307667, -0.24005985,Standing
-7.2248287, -6.4124656, -1.6983058,0.117893524, -0.08437328, 0.006872032,-0.0064873695, 0.016028881, -0.34588766,Standing
-7.3304124, -6.4387865, -1.6719848,0.109799795, -0.041003123, 0.021532366,-0.102458, -0.015608788, -0.3122096,Standing
-7.347162, -6.472286, -1.5403795,0.08681667, 0.0066429637, 0.03436016,-0.108439445, -0.054560184, -0.17731309,Standing
-7.2320075, -6.5536423, -1.5308083,0.06139015, 0.030466007, 0.052685577,0.011074066, -0.13627148, -0.16491449,Standing
-7.1913295, -6.6421766, -1.5140585,0.04833329, 0.022524992, 0.06062659,0.051358223, -0.21812725, -0.1465565,Standing
-7.2320075, -6.596713, -1.3606188,0.030924143, 0.007253811, 0.041079476,0.009104729, -0.16367388, -0.0023294687,Standing
-7.280163, -6.532107, -1.3534403,0.01977618, -0.006795676, 0.009315421,-0.040507793, -0.089574814, -0.008437872,Standing
-7.2825556, -6.4459653, -1.4566308,0.047111593, -0.022066858, -0.014507622,-0.045496464, 0.004190922, -0.121869564,Standing
