acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
0.54376894, 2.2758734, 8.510074,0.616803, -0.8241093, -0.2716743,0.0, 0.0, 0.0,Walking
0.47916272, 1.5744773, 7.2556367,0.616803, -0.8241093, -0.2716743,-0.21015292, -0.5131365, -0.5651908,Walking
0.73070824, 1.6797615, 7.2580295,0.616803, -0.8241093, -0.2716743,-0.27031696, -0.515641, -0.26858473,Walking
0.50787663, 1.7682959, 5.5773706,1.6480659, -1.8174233, 0.06429167,-0.7578575, -0.6062796, -1.3041058,Walking
1.9851454, 1.0980065, 3.2455647,1.979756, -2.0733683, 0.24449162,0.17662549, -1.2807564, -2.7221537,Walking
1.7168503, 0.5306084, 2.2232313,2.467441, -2.786227, 0.51876205,-0.4546094, -1.7239416, -2.9102068,Walking
3.141477, -0.4031906, 1.672583,2.7358322, -3.3243835, 0.7032379,0.48373342, -2.3851037, -2.752099,Walking
3.6634114, 0.54257256, 1.524228,2.6345842, -3.4288385, 0.86144733,0.56006455, -1.2674842, -2.3230681,Walking
4.575675, -0.070289165, 1.2176477,2.3444319, -3.442277, 1.206576,1.0257313, -1.5763983, -2.1348388,Walking
6.457331, -1.0423734, 1.6390835,1.968608, -3.4416661, 1.4711493,2.3896646, -2.1155438, -1.3625159,Walking
8.015956, -1.9474585, 2.702095,1.392121, -3.4282274, 1.943945,3.4192371, -2.5096502, -0.10571146,Walking
9.655936, -2.8307092, 2.7906294,0.7056049, -3.174726, 2.475382,4.516057, -2.8316634, 0.15080452,Walking
10.5080805, -2.952743, 3.28385,0.15149012, -2.7055953, 2.8730438,4.8739195, -2.4057708, 0.78275084,Walking
10.778769, -3.5754752, 3.5709887,-0.16477604, -2.279224, 3.0648499,4.7399344, -2.4447756, 1.1954985,Walking
11.058729, -4.2338004, 4.1168513,-0.47042874, -2.0238898, 3.0465243,4.696583, -2.4852083, 1.8410347,Walking
11.403595, -4.7629137, 4.215256,-0.802806, -1.9756328, 3.0220904,4.789007, -2.3694184, 2.0563288,Walking
11.585449, -5.2920265, 3.891926,-1.0419527, -1.8198667, 3.1210477,4.8028855, -2.2272558, 1.8870101,Walking
12.18874, -5.5504513, 4.284648,-1.1879452, -1.6848694, 3.2731488,5.287658, -1.8274243, 2.434377,Walking
12.897314, -5.809175, 4.5263233,-1.3513469, -1.6195087, 3.4594572,5.9074054, -1.4629455, 2.8386319,Walking
13.22543, -5.6581283, 5.096114,-1.5849196, -1.4686295, 3.6482089,6.1790366, -0.7601514, 3.5588143,Walking
13.498212, -5.380561, 5.5917273,-1.7526735, -1.3922737, 3.7092936,6.411477, -0.013638496, 4.1876526,Walking
13.551153, -5.2199426, 5.258826,-1.8427734, -1.3177502, 3.6091146,6.442586, 0.55135536, 4.008521,Walking
13.239787, -5.2008, 4.5335016,-1.7756566, -1.3165286, 3.4093676,6.1448264, 0.93312216, 3.4803143,Walking
13.416856, -5.3446684, 4.301398,-1.5811782, -1.3525685, 3.1387622,6.3481283, 1.1198993, 3.4372663,Walking
13.469498, -5.258527, 4.4377885,-1.4575579, -1.3556228, 2.9011426,6.4463468, 1.5004401, 3.694088,Walking
13.211073, -5.028517, 4.2702913,-1.444501, -1.3605095, 2.74049,6.256977, 1.9844804, 3.5638185,Walking
12.782458, -4.7916274, 3.6382868,-1.3389008, -1.2646066, 2.6103795,5.9085703, 2.4282255, 2.9097223,Walking
12.317952, -4.621438, 2.9198418,-1.0928822, -0.97071266, 2.5150871,5.524666, 2.7597961, 2.1399918,Walking
11.733804, -4.3414774, 2.2686949,-0.8214368, -0.50524706, 2.3978045,5.034475, 3.168428, 1.4261181,Walking
11.164013, -3.8051863, 1.8017955,-0.6071058, -0.03245126, 2.1895056,4.5718427, 3.7980194, 0.8940495,Walking
11.049158, -3.2832518, 1.3731811,-0.4337779, 0.2644205, 1.9506644,4.543241, 4.3684287, 0.4043759,Walking
10.900803, -2.792424, 0.90418786,-0.25296712, 0.37498385, 1.8199431,4.444552, 4.856411, -0.11034602,Walking
10.563115, -2.3231318, 0.31764722,-0.06161922, 0.33772218, 1.731981,4.1193647, 5.272905, -0.7113744,Walking
10.1802635, -1.9450657, -0.055932228,0.098651834, 0.25709033, 1.5420076,3.7138114, 5.5558834, -1.0701947,Walking
9.746864, -1.7940187, -0.0846461,0.17012095, 0.18439952, 1.2493354,3.2387552, 5.5872054, -1.0746934,Walking
9.437891, -1.901995, 0.21206391,0.13591352, 0.12881242, 0.91581273,2.8793745, 5.3530416, -0.7658949,Walking
9.334999, -2.0718853, 0.6239285,0.06696413, 0.06161922, 0.59267455,2.7170033, 5.054457, -0.3637033,Walking
9.239286, -2.2537398, 0.8177471,0.048944138, 0.0011453386, 0.36238512,2.5529022, 4.741152, -0.19183671,Walking
9.320642, -2.3255246, 0.95443714,0.117893524, -0.056274302, 0.2261662,2.549636, 4.5293455, -0.080224335,Walking
9.535996, -2.457429, 0.88265246,0.23907034, -0.11186141, 0.12781979,2.6604257, 4.248501, -0.17377138,Walking
9.65833, -2.725425, 1.1171491,0.35024455, -0.1674485, 0.028251685,2.6659417, 3.82771, 0.026858807,Walking
9.6224375, -2.9910283, 1.6007984,0.42850935, -0.24197187, -0.09269607,2.5097022, 3.4068718, 0.45090997,Walking
9.687043, -3.1827533, 1.8783658,0.4888305, -0.29572642, -0.22647162,2.4418335, 3.04894, 0.658515,Walking
9.821041, -3.3526437, 2.1945174,0.5881696, -0.32321456, -0.32909396,2.4229827, 2.694761, 0.9164053,Walking
9.9502535, -3.5874393, 2.525026,0.7410341, -0.3354315, -0.404839,2.3811593, 2.2611346, 1.2118522,Walking
10.1683, -3.8650067, 2.9246275,0.89260054, -0.4050681, -0.52151084,2.4146566, 1.7732935, 1.5871117,Walking
10.539187, -4.281657, 3.1378877,1.0491302, -0.63047075, -0.67055756,2.584578, 1.1326017, 1.7837766,Walking
11.252547, -4.935197, 3.2407792,1.2429978, -0.9450571, -0.7945596,3.0692892, 0.23796272, 1.8941739,Walking
11.743376, -5.186443, 3.4896326,1.4690876, -1.1803097, -0.8874084,3.3167696, -0.27386904, 2.1737912,Walking
12.421143, -5.6581283, 3.6020954,1.6474551, -1.3116418, -1.0193514,3.7393484, -1.0106678, 2.3642912,Walking
13.867005, -6.5081787, 3.566203,1.7554986, -1.4600776, -1.2050489,4.90392, -2.1324897, 2.4497871,Walking
15.142978, -6.773782, 3.8775692,1.8859909, -1.6170654, -1.3407334,5.8767014, -2.708346, 2.8792613,Walking
16.09592, -6.869495, 3.7244284,1.9250852, -1.8333054, -1.4256412,6.507908, -3.1850717, 2.8235765,Walking
16.105492, -6.532107, 2.8241289,1.8828603, -1.9536422, -1.5783529,6.1976557, -3.327779, 2.020205,Walking
15.013765, -6.1848483, 2.3787649,1.8449878, -1.8381921, -1.8330762,4.8256035, -3.5541992, 1.6315737,Walking
13.890934, -6.163313, 2.3931217,1.6934214, -1.5236058, -2.238679,3.481534, -4.169877, 1.6165278,Walking
13.057932, -6.417251, 3.0107691,1.3287455, -1.1809205, -2.7401845,2.4897852, -5.0997314, 2.145544,Walking
12.406785, -6.7689962, 3.6116667,0.9193251, -0.71110255, -3.185492,1.7443218, -6.141215, 2.6359627,Walking
11.906386, -7.1138616, 4.0594234,0.6453601, -0.145458, -3.490305,1.2107611, -7.1696353, 2.9826853,Walking
11.803196, -7.662117, 4.1240296,0.59130013, 0.15324631, -3.6876085,1.1255484, -8.373857, 2.9693418,Walking
10.862517, -7.75783, 3.8943188,0.68514156, 0.24976017, -3.7725163,0.25843334, -9.069573, 2.6828399,Walking
9.830613, -7.4440713, 3.6693935,0.7981483, 0.22043951, -3.7786248,-0.6577673, -9.283104, 2.4306417,Walking
9.169894, -6.943971, 3.7387853,0.86282176, 0.16912833, -3.71754,-1.1820021, -9.239476, 2.5191855,Walking
8.784351, -6.3981085, 3.798606,0.85343, 0.14469445, -3.5025218,-1.4221773, -9.088679, 2.6406426,Walking
8.360522, -5.8426747, 3.7220356,0.7664606, 0.05856498, -3.1916006,-1.694418, -8.869608, 2.63384,Walking
7.6591263, -5.157729, 3.324528,0.66956496, -0.1546207, -2.8806794,-2.2361512, -8.4593935, 2.2529078,Walking
