acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-2.46405, -2.36205, 0.864,1.07965, -0.111237496, -0.5275875,3.1212974, 3.5405438, -0.019530058,Jogging
-4.15905, -3.3460503, -1.01505,1.094225, 0.124575, -0.4763,3.1603546, 5.2032423, -0.36694765,Jogging
-4.3549504, -2.5459502, -1.8169501,1.0954624, 0.3163875, -0.41635,2.6699839, 6.295559, 0.73822796,Jogging
-4.27395, -0.92805004, -2.18595,1.0674125, 0.4984375, -0.346775,1.8719501, 7.304044, 3.7568865,Jogging
-4.7070003, 0.18495001, -1.3620001,1.011175, 0.7085375, -0.27101249,1.068615, 8.27957, 7.4692764,Jogging
-5.46105, 1.30005, 1.23705,0.923175, 0.9431125, -0.1892,1.6230841, 9.384026, 12.499626,Jogging
-6.2250004, 2.4190502, 4.53195,0.8096, 1.1851125, -0.0974875,3.353369, 11.803778, 17.190704,Jogging
-5.5740004, 3.7830002, 8.89395,0.6703125, 1.4196875, 0.00385,5.592476, 15.596912, 18.637476,Jogging
-3.7039502, 6.4860005, 12.937951,0.51755, 1.6322625, 0.108899996,6.0248227, 15.83013, 20.553211,Jogging
-1.314, 10.588051, 13.80195,0.3551625, 1.8326, 0.2079,3.442497, 13.607464, 26.059662,Jogging
-0.62700003, 11.212951, 15.021001,0.17435, 2.0292249, 0.2982375,1.2239618, 12.910687, 29.654245,Jogging
-2.73405, 9.41205, 19.702051,-0.0297, 2.1905124, 0.374,2.037403, 13.537636, 27.258972,Jogging
-4.3450503, 9.036, 22.573051,-0.2605625, 2.2980375, 0.4362875,3.7684946, 14.252535, 21.707588,Jogging
-3.00495, 9.786, 19.731,-0.5256625, 2.3420374, 0.492525,5.133395, 13.934933, 17.738808,Jogging
-0.88305, 10.497001, 13.93395,-0.825, 2.33585, 0.541475,6.4623146, 12.613388, 15.557884,Jogging
0.76305, 10.245001, 9.77295,-1.1622875, 2.316325, 0.57805,7.658916, 10.660343, 14.561531,Jogging
2.1349502, 9.052951, 7.5100503,-1.5299625, 2.3078, 0.602525,8.891249, 9.038512, 14.244659,Jogging
3.2340002, 7.3650002, 6.4540505,-1.9135875, 2.3139875, 0.6098125,10.000771, 7.72186, 13.932663,Jogging
4.23705, 6.0409503, 6.15,-2.295975, 2.3335125, 0.5951,10.728369, 7.393485, 13.29961,Jogging
4.96995, 4.9680004, 5.97795,-2.6613126, 2.343275, 0.547525,11.484053, 7.6647415, 12.574921,Jogging
5.3770504, 4.662, 5.54895,-2.9789374, 2.316325, 0.46928748,11.750725, 8.118934, 12.772659,Jogging
5.8290005, 4.815, 5.0869503,-3.2342749, 2.25775, 0.36795,11.502754, 10.065826, 14.257219,Jogging
5.89095, 5.11905, 5.50395,-3.422375, 2.1819875, 0.25795,10.640635, 12.996782, 17.105095,Jogging
5.39295, 6.7860003, 7.3230004,-3.53485, 2.08175, 0.1566125,7.6908565, 14.631997, 22.303274,Jogging
4.374, 9.37905, 10.486051,-3.5701876, 1.963225, 0.0746625,3.4825454, 15.123827, 27.484905,Jogging
1.419, 10.64505, 15.904951,-3.5446124, 1.8374125, 0.0209,1.3822031, 13.58626, 25.806698,Jogging
-2.775, 10.743001, 21.334951,-3.4846625, 1.725075, -0.00715,3.9002955, 12.854822, 18.630365,Jogging
