acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
4.17727, -2.5268207, 2.9177482,0.38641328, 0.20772044, 0.4029244,0.0, 0.0, 0.0,Jumping
3.4995031, -1.7653049, 1.852942,0.38321757, 0.3163742, 0.32143405,-0.32180285, 0.38295555, -0.55488586,Jumping
3.202195, -1.4440684, 1.2074782,0.28148782, 0.44100648, 0.22276686,-0.3915987, 0.47152197, -0.83116055,Jumping
3.234797, -1.57358, 1.2110673,0.17656237, 0.4031907, 0.11943925,-0.25382328, 0.2575928, -0.6469984,Jumping
3.5126636, -2.0994027, 1.3896317,0.16324696, 0.1677742, 0.0693733,0.026183367, -0.21556497, -0.38875806,Jumping
3.908975, -2.9617162, 1.5571294,0.11424624, -0.20825306, 0.106656455,0.34943748, -0.89550424, -0.17585063,Jumping
5.3018966, -4.217051, 3.0472596,-0.022636201, -0.63754195, 0.2703029,1.4845741, -1.8266218, 1.1654651,Jumping
7.675876, -6.806384, 5.279763,-0.116376705, -1.0748202, 0.44127277,3.3604522, -3.831363, 3.0489523,Jumping
10.327722, -9.623633, 8.832208,-0.15951864, -1.472152, 0.6916025,5.3248825, -5.851309, 5.987851,Jumping
12.993924, -12.031113, 11.959627,0.037016846, -1.6979815, 0.8966599,7.169519, -7.354978, 8.351983,Jumping
13.750954, -13.380963, 13.275978,0.23355234, -1.6532416, 0.8647029,7.174731, -7.837789, 8.942385,Jumping
14.529219, -14.117354, 14.186148,0.51157814, -1.6234151, 0.82688713,7.249107, -7.80062, 9.173379,Jumping
16.637297, -14.839688, 13.581362,1.0010527, -1.3501829, 0.6069165,8.58508, -7.8770227, 7.9737573,Jumping
16.41925, -14.000106, 10.559526,1.4324721, -0.6545857, -0.005193011,7.701585, -6.683246, 4.5144324,Jumping
14.707784, -12.940085, 6.161219,1.0777495, 0.07350108, -0.5601794,5.525157, -5.459616, -0.04616785,Jumping
11.895618, -11.033305, 3.9215372,0.11584409, 0.9247554, -0.9559135,2.520915, -3.5062122, -2.3161082,Jumping
