acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
-3.0726833, -1.180858, 9.409476,0.09773513, 0.023701435, 0.0019973118,0.0, 0.0, 0.0,Lying
-3.0583265, -1.1590235, 9.491131,0.0966699, 0.03328853, -0.0054593193,-0.019735336, 0.01396513, -0.026406288,Lying
-3.0702906, -1.1255239, 9.414262,0.11477886, 0.024766669, -0.02356828,-0.012046337, -0.023011208, 0.068006516,Lying
-3.1157541, -1.0800604, 9.36162,0.13714875, -0.014646954, -0.04487294,0.049296618, -0.028893948, 0.112835884,Lying
-3.118147, -1.1087742, 9.491131,0.16484481, -0.050864875, -0.0757647,0.022919416, 0.038386166, 0.029473305,Lying
-3.036791, -1.1015958, 9.577272,0.20212796, -0.042343013, -0.10452599,0.014751196, 0.02377075, -0.058807373,Lying
-3.0463624, -0.9987044, 9.507881,0.23728065, -0.008255556, -0.13328728,-0.06275439, -0.01480037, -0.11636543,Lying
-3.0415766, -0.9771689, 9.414262,0.25645486, 0.02157097, -0.13967869,-0.13961673, 0.007127106, -0.12582874,Lying
-3.1253254, -0.9819546, 9.342477,0.25538963, 0.034353767, -0.13222206,-0.0694263, 0.12883526, -0.11830521,Lying
-3.223431, -0.9197412, 9.318549,0.22769356, 0.009853406, -0.12583065,0.10110569, 0.2551216, -0.038233757,Lying
-3.1660035, -0.7423732, 9.313763,0.1744319, -0.06258244, -0.12050448,0.079196215, 0.20770758, -0.04010868,Lying
-2.9838498, -0.55304116, 9.392726,0.05778889, -0.08974588, -0.077362545,0.03727746, 0.25785863, 0.044276237,Lying
-2.981457, -0.46331027, 9.495916,0.03062545, -0.024766669, -0.054992653,0.08632302, 0.22096074, -0.34104252,Lying
-2.9192436, -0.4776672, 9.08136,-0.03808208, 0.056191042, -0.031024912,0.26026917, 0.226551, -0.44060516,Lying
-2.7338, -0.4621139, 8.94138,-0.08868065, 0.10039821, 0.011051793,-0.12690592, 0.26722336, -0.24345207,Lying
-3.1492536, -0.41665024, 9.112467,-0.14247492, 0.0902785, 0.05259588,-0.041900396, 0.20500207, -0.22037601,Lying
-3.0846474, -0.4872385, 9.112467,-0.18934517, 0.02157097, 0.08721595,0.034062147, 0.36810762, 0.10250282,Lying
-3.0116663, -0.3290131, 9.4381895,-0.21704122, -0.021038352, 0.109585844,0.08961129, 0.23351383, 0.12408161,Lying
-2.9479575, -0.48245287, 9.466006,-0.20905198, -0.065245524, 0.12822743,0.15196824, 0.08670694, 0.19101048,Lying
-2.8666015, -0.6550352, 9.54497,-0.20212796, -0.03808208, 0.14207545,0.35832357, 0.076503575, -0.062296867,Lying
-2.635395, -0.6897311, 9.287442,-0.18827994, -0.013049104, 0.13621667,0.44592643, 0.15262729, 0.32629013,Lying
-2.5241287, -0.63200426, 9.690931,-0.14460538, 0.05832151, 0.12556434,0.07176757, 0.17742455, 0.4268074,Lying
-2.9072795, -0.61764735, 9.807282,-0.11850718, 0.12915951, 0.111183695,0.16265345, -0.008094668, 0.09632492,Lying
-2.8342984, -0.81894356, 9.471989,-0.1323552, 0.116376705, 0.08721595,0.2496326, -0.15659702, -0.032126427,Lying
-2.7589245, -0.9939187, 9.332906,-0.14407277, 0.065245524, 0.05685681,0.11390853, -0.1623143, 0.032614708,Lying
-2.902494, -1.029811, 9.392726,-0.14673585, 0.024766669, 0.030225987,-0.022601128, -0.04881084, 0.03171158,Lying
-3.045166, -0.94366944, 9.389137,-0.12702903, -0.009853406, 0.0115844095,-0.115418196, -0.10456371, 0.11042023,Lying
-3.140879, -1.0262218, 9.470792,-0.09880036, -0.04287563, -0.0059919357,-0.19729161, -0.319261, 0.050253868,Lying
-3.2222347, -1.2717853, 9.413065,-0.060451973, -0.05938674, -0.02197043,-0.27743363, -0.442536, 0.05423832,Lying
-3.301497, -1.4237294, 9.42144,-0.027962366, -0.04394086, -0.030492295,-0.34333992, -0.39279354, 0.019144058,Lying
-3.370889, -1.3950156, 9.389137,-0.0061250897, -0.031690683, -0.024633514,-0.34844851, -0.35518968, 0.011008263,Lying
-3.3816566, -1.3722838, 9.383155,0.0023967742, -0.042343013, -0.0177095,-0.32157755, -0.33465207, 0.03709793,Lying
-3.3577285, -1.3639089, 9.413065,2.6630826E-4, -0.05778889, -0.008655018,-0.2356515, -0.25473487, 0.04642105,Lying
-3.268895, -1.2933207, 9.427423,0.0013315412, -0.051397495, -0.007057169,-0.06691837, -0.17660594, -0.019480705,Lying
-3.0930223, -1.2215359, 9.364013,0.005059857, -0.04447348, -0.0075897854,0.05572653, -0.1283474, -0.011071205,Lying
-2.9599216, -1.1769696, 9.37478,0.010386022, -0.04447348, -0.004394086,0.1257217, -6.2835217E-4, 0.04906273,Lying
-2.8773692, -1.0477573, 9.439386,0.01997312, -0.04447348, -0.008655018,0.17245936, 0.070418954, 0.09196186,Lying
-2.8163524, -0.9711869, 9.488738,0.028494984, -0.037549466, -0.01291595,0.19099617, 0.12275803, 0.09314537,Lying
-2.784049, -0.9098708, 9.495916,0.032755915, -0.025299285, -0.019307349,0.2237134, 0.14631295, 0.05901909,Lying
-2.7385855, -0.87637126, 9.466006,0.030092834, -0.013581721, -0.022503048,0.20064712, 0.14079016, 0.037177086,Lying
-2.751746, -0.87278205, 9.446864,0.023701435, 0.0034620073, -0.021437814,0.118902445, 0.16895294, 0.009043694,Lying
-2.8295128, -0.8356933, 9.419047,0.014646954, 0.015179571, -0.015579033,0.058305264, 0.13378543, -0.023105621,Lying
-2.8905299, -0.8644072, 9.385548,0.0039946237, 0.01837527, -0.010785485,0.010810852, 0.07943034, -0.04685402,Lying
-2.940779, -0.91615194, 9.359226,-0.005059857, 0.021038352, -0.0022636203,-0.0217247, 0.046554387, -0.100749016,Lying
-2.9778678, -0.9484551, 9.300603,-0.011451255, 0.02157097, 0.0030625449,-0.09581542, 0.034145117, -0.10985184,Lying
-3.0595229, -0.9616156, 9.286245,-0.018907886, 0.008788172, 0.007856093,-0.1024847, -0.039313793, -0.0682888,Lying
-3.071487, -1.0393823, 9.324531,-0.022636201, -0.007190323, 0.012649642,-0.101275206, -0.075196266, -0.03820038,Lying
-3.0726833, -1.0812567, 9.353245,-0.02423405, -0.014114338, 0.014247492,-0.08387375, -0.08895719, -0.016410828,Lying
-3.0559337, -1.1015958, 9.37478,-0.014114338, -0.007190323, 0.013714875,-0.08393359, -0.08112538, -0.016241074,Lying
-2.9048867, -1.0250254, 9.356833,-0.013049104, -0.012516488, 0.007323477,-0.08323574, -0.07650375, -0.016155243,Lying
-2.9072795, -1.0322039, 9.42144,-0.011983871, -0.008255556, 0.00838871,0.06410718, 0.0018134117, -0.033218384,Lying
-2.914458, -1.017847, 9.4070835,-0.0066577066, -0.0029293909, 0.007323477,0.059269667, -0.004418969, 0.030373573,Lying
-2.9168508, -1.0130613, 9.404691,-0.0034620073, 0.0013315412, 0.004127778,0.05066061, 0.010007739, 0.015609741,Lying
-2.9503503, -1.0322039, 9.399904,-0.0013315412, 0.0023967742, 9.320789E-4,0.04709792, 0.014490962, 0.012931824,Lying
-2.9838498, -1.0465608, 9.38794,-0.0013315412, 2.6630826E-4, -0.0011983871,0.013127804, -0.004211664, 0.007909775,Lying
-2.9982069, -1.0609177, 9.375977,-0.0013315412, -0.0039946237, -0.0033288533,-0.02051258, -0.017539382, -0.0041332245,Lying
-3.0005996, -1.0489537, 9.371191,-2.6630826E-4, -0.0018641578, -0.0054593193,-0.034167767, -0.03049314, -0.015675545,Lying
-3.0272198, -1.070489, 9.392726,7.9892477E-4, 2.6630826E-4, -0.0054593193,-0.035409212, -0.017733335, -0.019786835,Lying
-3.0080771, -1.0824531, 9.399904,-0.0013315412, -0.0018641578, -0.0054593193,-0.06014633, -0.037436843, 0.0016336441,Lying
-2.9886355, -1.0657034, 9.375977,-0.0023967742, -0.010386022, -0.004394086,-0.04156518, -0.04709041, 0.007984161,Lying
-2.9838498, -1.0800604, 9.390333,-2.6630826E-4, -0.012516488, -0.0022636203,-0.023941278, -0.029136062, -0.016140938,Lying
-2.969493, -1.0561321, 9.395119,0.0029293909, -0.007190323, -0.0022636203,-0.019845963, -0.042454123, -0.0021734238,Lying
-2.9599216, -1.0250254, 9.4070835,0.0039946237, -0.005059857, -0.0022636203,-0.0062446594, -0.018468857, 0.0021648407,Lying
-2.9647074, -1.0393823, 9.395119,0.0018641578, -0.010386022, -0.0011983871,0.0013411045, 0.011984229, 0.013047218,Lying
-2.940779, -1.044168, 9.378369,-0.0013315412, -0.011451255, -0.0022636203,-0.0054314137, -0.001943469, 4.1294098E-4,Lying
-2.914458, -1.0513464, 9.402297,-0.0034620073, -0.009320789, -0.0011983871,0.016210556, -0.005823493, -0.01626873,Lying
-2.940779, -1.0537393, 9.4070835,-0.0045272405, -0.0061250897, -1.3315413E-4,0.0400393, -0.0117594, 0.007173538,Lying
