acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
0.59730834, -2.3569303, 1.9345971,0.83554214, -3.0951676, 1.0865377,0.0, 0.0, 0.0,Running
0.45104706, -3.155834, 0.8135597,0.8025199, -3.6080773, 1.469489,-0.107665956, -0.4055426, -0.55664,Running
0.6870392, -3.874279, 1.0085747,0.68640953, -4.01979, 1.968018,0.08445102, -0.74728537, -0.23612428,Running
1.6010975, -4.72732, 1.2062817,0.6656375, -4.4545383, 2.5469723,0.78607786, -1.1901937, -0.021339893,Running
3.4417763, -5.1296134, 0.8650054,0.5953321, -4.8417506, 3.0774581,2.181396, -1.2483356, -0.2649672,Running
5.8420763, -5.6614184, 0.4671986,0.15951864, -4.9386864, 3.5184646,3.956736, -1.4183006, -0.46678135,Running
8.146664, -6.0460644, 2.1176481,-0.41837028, -4.614856, 3.8827744,5.5840783, -1.4240694, 1.1826037,Running
11.567503, -6.358627, 4.030411,-0.7097115, -4.1056743, 4.021787,8.149483, -1.3428459, 2.9370995,Running
14.057534, -5.3596234, 5.1000023,-0.75604916, -3.4046178, 3.8327084,9.746233, -0.07473898, 3.8240066,Running
15.298212, -4.520042, 5.4846487,-0.8162348, -2.5284638, 3.4636052,10.171383, 0.9597411, 4.052868,Running
15.313766, -3.5928233, 4.758726,-0.9989223, -1.4041103, 3.1206002,9.543077, 2.0162525, 3.2510996,Running
15.747465, -2.652743, 4.3983073,-1.4282112, -0.3303554, 2.8878467,9.438129, 3.0385876, 2.8330765,Running
16.157236, -1.0405787, 5.61745,-1.9144901, 0.30718657, 2.6231363,9.378401, 4.6374464, 3.911438,Running
17.164314, 1.2290136, 8.480164,-2.0236764, 0.36843747, 2.3115556,9.903012, 6.75486, 6.4629483,Running
18.978971, 3.5300117, 9.9807625,-1.58267, 0.12503172, 1.8822668,11.13765, 8.755769, 7.581666,Running
20.566011, 5.6823554, 10.456336,-0.8593767, 0.013714875, 1.433271,12.071456, 10.468756, 7.6362505,Running
23.618954, 6.850053, 10.69831,0.022103585, -0.016644266, 0.89852405,14.314915, 11.09156, 7.415163,Running
24.843182, 6.809375, 8.893225,0.92129344, -0.28721344, -0.10399337,14.650141, 10.362551, 5.2760363,Running
23.127827, 5.64766, 5.7673006,1.2824074, -0.53488016, -1.1186278,12.147496, 8.416406, 2.057516,Running
21.755245, 3.7743785, 4.3576293,1.0917307, -0.43315038, -1.8243448,10.120016, 5.763808, 0.65274453,Running
21.268904, 1.332204, 4.7455654,0.80305254, -0.17962492, -2.444843,9.085718, 2.5722935, 1.004832,Running
20.301306, -1.1856437, 5.1876397,0.7050511, 0.054726347, -3.0589497,7.704239, -0.6992556, 1.3569613,Running
18.040985, -3.7905302, 4.988736,0.6784203, 0.17669553, -3.6442952,5.2196846, -4.0740657, 1.0655663,Running
14.494523, -6.075975, 5.0916276,0.6347457, 0.15805395, -4.057073,1.6779518, -7.120229, 1.0913706,Running
10.603195, -7.688139, 6.100202,0.7849436, -0.26005, -4.118324,-2.020485, -9.435298, 2.1023722,Running
7.295118, -9.225827, 6.2955165,1.2312763, -0.9172988, -3.8520157,-5.025386, -11.557026, 2.4808974,Running
