acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
6.1247287, -4.747659, 4.0005,0.26923764, -0.1884131, 0.19214141,0.0, 0.0, 0.0,Standing
6.3332033, -4.619344, 3.7525442,0.25592223, -0.19959804, 0.22995718,0.10709524, 0.06785679, -0.12390518,Standing
6.667301, -4.534399, 3.671188,0.20798674, -0.21504392, 0.24273998,0.29831696, 0.11145735, -0.1320076,Standing
6.9296145, -4.487739, 3.6005998,0.1584534, -0.1884131, 0.22143531,0.42510986, 0.13054752, -0.14518356,Standing
7.0722866, -4.426722, 3.5647075,0.08655018, -0.1143794, 0.17882599,0.4604087, 0.16653347, -0.13947654,Standing
7.2026954, -4.33071, 3.612564,0.017310036, -0.042476166, 0.1143794,0.49851513, 0.22997046, -0.0730052,Standing
7.2158556, -4.3594236, 3.675974,-0.03967993, 0.0022636203, 0.03874785,0.44170666, 0.17930841, -0.0053682327,Standing
7.0722866, -4.429115, 3.8617167,-0.072169535, 0.03155753, -0.010785485,0.26188517, 0.09942341, 0.1597104,Standing
6.998109, -4.485346, 3.946662,-0.08548495, 0.058188353, -0.033155378,0.16792393, 0.039930344, 0.21739769,Standing
6.9655066, -4.4949174, 4.06062,-0.08228925, 0.08481918, -0.03422061,0.12488651, 0.028611183, 0.2944045,Standing
6.957132, -4.505685, 4.119244,-0.047669176, 0.077895164, -0.021437814,0.10941744, 0.016798496, 0.31533813,Standing
6.9499536, -4.5008993, 3.999304,-0.0018641578, 0.05392742, -0.019307349,0.09583902, 0.017531872, 0.17276025,Standing
6.8985076, -4.4781675, 3.8389847,0.023168819, 0.044340324, -0.011318101,0.043083668, 0.034163475, 0.003890276,Standing
6.8614187, -4.45065, 3.7633119,0.0258319, 0.045938175, 0.0067908606,0.009309769, 0.056340694, -0.07433677,Standing
6.9044895, -4.476971, 3.7417765,0.031158065, 0.059786204, 0.025965055,0.055294514, 0.029056072, -0.09959149,Standing
6.3774705, -3.5449667, 3.4627135,0.026364516, 0.06511237, 0.09999875,-0.42928553, 0.911592, -0.36541128,Standing
7.7560353, -5.2109694, 3.2004004,-0.07003907, -0.023834588, 0.09413997,0.89957285, -0.693244, -0.58198357,Standing
6.835098, -4.1030927, 3.810271,-0.080691405, -0.039280467, -0.015579033,-0.024363518, 0.3953042, 0.037917137,Standing
6.9969125, -4.5882373, 3.4244282,-0.04873441, -0.10692277, 0.05579158,0.12728548, -0.07449007, -0.31166816,Standing
6.8255267, -4.5355954, 3.4543386,-0.12649642, -0.111183695, 0.02063889,-0.047789574, -0.009247303, -0.24266171,Standing
6.9009004, -4.5535417, 3.6436708,-0.18242116, -0.02969337, 0.0792267,0.03103447, -0.0031108856, -0.03153181,Standing
6.855437, -4.462614, 3.8724844,-0.19626918, -0.048867565, 0.07390054,-0.01085186, 0.1069603, 0.21139908,Standing
6.897311, -4.4132624, 3.7827535,-0.16377957, -0.12822743, 0.089879036,0.028670788, 0.17218208, 0.14703918,Standing
6.943971, -4.4144588, 3.714259,-0.16857313, -0.17989123, 0.045671865,0.063931465, 0.18127441, 0.11341238,Standing
6.910472, -4.45065, 3.7393837,-0.18774731, -0.16497797, 0.027562905,0.020418167, 0.15580082, 0.17078519,Standing
6.8745794, -4.4685965, 3.7501514,-0.21171506, -0.12023818, 0.0035951615,-0.022686005, 0.14722395, 0.20875359,Standing
6.625427, -4.4554358, 3.7094734,-0.24047635, -0.1143794, -0.004394086,-0.26977873, 0.1699481, 0.19787025,Standing
6.1342998, -4.3331027, 3.4770703,-0.3059882, -0.29280594, 0.03448692,-0.7499633, 0.3064041, 0.032032967,Standing
5.7140603, -4.426722, 2.8172495,-0.50199103, -0.58254933, 0.13461882,-1.1555219, 0.25556564, -0.4853847,Standing
5.3715878, -4.3522453, 2.5501506,-0.8732248, -0.78441095, 0.34287187,-1.4651661, 0.41698694, -0.5461252,Standing
4.671986, -4.2505503, 2.003989,-1.3580389, -0.9979902, 0.87122744,-2.0703912, 0.69199085, -0.80141044,Standing
6.0601225, -5.838786, 2.7394829,-1.7782733, -0.93247837, 1.2525809,-0.58704185, -0.61813307, 0.22725892,Standing
5.246862, -6.2638116, 3.2832518,-1.6712174, -0.9639027, 1.5018454,-1.2476053, -0.74722815, 1.0399256,Standing
6.823134, -6.3550377, 3.5742788,-1.2296784, -0.9441959, 1.6738806,0.46154022, -0.55849886, 1.5401628,Standing
6.148657, -7.6052876, 2.7658038,-0.8077129, -1.1668296, 1.4251486,-0.088460445, -1.5558171, 0.9423783,Standing
6.1139607, -6.812366, 1.896312,-0.6202319, -0.501059, 1.3622999,0.023468018, -0.5602422, 0.20291996,Standing
5.554639, -6.120242, 1.46022,-0.5744269, -0.4978633, 1.2318088,-0.38734627, 0.2886014, -0.09953821,Standing
4.2741795, -6.1477594, 0.6876374,-0.69373304, -1.0528497, 1.2946576,-1.4920397, 0.419281, -0.64439136,Standing
3.141178, -6.478268, 0.41455653,-0.8173, -1.3303429, 1.8022411,-2.3576765, 0.3011117, -0.6447449,Standing
3.505485, -8.016255, 0.7426723,-0.9153015, -1.5380633, 2.2437801,-1.6733537, -0.9589324, -0.02908343,Standing
4.11386, -8.640183, 1.8999012,-0.88281184, -1.8624268, 2.341249,-0.7381296, -1.3078852, 1.4017293,Standing
5.560621, -9.415159, 2.7622147,-0.49986058, -2.1143544, 2.1835945,0.98929596, -1.8324113, 2.4722466,Standing
9.005388, -11.663216, 2.4122643,0.15632294, -2.0270052, 1.3750827,4.5249724, -3.867906, 2.2239456,Standing
6.155835, -7.87119, 2.4891338,0.558981, -1.1471229, 0.48774356,1.7070212, -0.03426552, 2.2621143,Standing
4.766503, -7.7814593, 3.504588,1.2167624, -0.70984465, 0.553788,0.3906827, 0.09468746, 3.081098,Standing
5.0252266, -8.548059, 2.3811576,1.9512405, -0.52183104, 0.8366074,0.75717735, -0.60845137, 1.6616313,Standing
4.508975, -9.266505, 0.5476573,2.129667, -0.3370131, 0.8770862,0.36481094, -1.2635679, -0.4677906,Standing
3.7965121, -7.623234, 0.1582254,1.9059682, -0.012117025, 0.99905545,-0.18629384, 0.40738583, -1.1327416,Standing
5.220541, -8.70479, 0.2745764,1.6396599, 0.16790736, 1.0661651,1.3827591, -0.6253891, -1.2628796,Standing
4.9486566, -8.504989, 0.9942178,1.3903954, -0.05685681, 0.7886719,1.2097747, -0.40360928, -0.7449528,Standing
3.9640098, -8.39462, 1.9082761,1.2678936, -0.8600425, 0.52342886,0.27239347, -0.2946062, 0.028685331,Standing
2.6285157, -8.300103, 2.6027927,1.3941237, -2.012092, 0.35831776,-1.0615094, -0.22234249, 0.6353755,Standing
1.6525432, -8.266604, 2.402693,1.6311381, -3.3629405, 0.32582816,-2.0769634, -0.22410583, 0.41538906,Standing
1.1793624, -8.177771, 0.5353941,1.8170213, -4.4132605, 0.43874285,-2.6029177, -0.17012978, -1.3842645,Standing
2.1281166, -8.697611, -1.4742779,1.5981158, -4.8926153, 0.6379414,-1.7022448, -0.6879797, -3.217641,Standing
2.4430718, -8.470293, -2.571387,1.1592399, -4.4910226, 0.7465952,-1.3916986, -0.43411922, -4.083167,Standing
3.1423743, -8.369495, -2.7152555,0.6995918, -3.7863708, 0.85737944,-0.65117717, -0.2837658, -3.9819736,Standing
3.7857444, -8.2558365, -2.1340988,0.25538963, -3.0769255, 0.8195637,0.050673008, -0.11325836, -3.1581879,Standing
4.403691, -8.282157, -1.1282159,-0.060451973, -2.5889158, 0.6113106,0.70735073, -0.092437744, -1.9204676,Standing
4.942674, -8.417352, -0.68494546,-0.19893226, -2.2459106, 0.27096865,1.2382734, -0.20200634, -1.2607465,Standing
5.0180483, -8.473883, -0.6011967,-0.29533586, -1.9710805, -0.14713532,1.2503986, -0.26198673, -0.9685963,Standing
4.6600223, -8.59472, -1.0202397,-0.3768262, -1.5796074, -0.48321635,0.7925749, -0.41047764, -1.189115,Standing
4.128217, -8.840283, -1.4419748,-0.5163717, -0.9713594, -0.6749583,0.14818501, -0.6960335, -1.4299307,Standing
3.6574295, -9.133703, -1.2777673,-0.6963961, -0.2912081, -0.660045,-0.42104292, -1.0267525, -1.1138413,Standing
3.5593238, -9.249755, -0.76510507,-0.76829934, 0.25525647, -0.59027225,-0.60484624, -1.1757765, -0.49218014,Standing
