acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,la_x,la_y,la_z,Activity
7.1249285, -6.298507, -0.9496515,-0.23728065, -0.17576344, 0.07097115,0.0, 0.0, 0.0,Walking
6.3643103, -6.2063837, -1.4647065,0.045538712, -0.41171256, -0.07017223,-0.38066053, 0.041646957, -0.23146987,Walking
5.933303, -6.180063, -2.0072792,0.31184697, -0.6774882, -0.13248836,-0.54087496, 0.038783073, -0.4816531,Walking
5.680561, -5.9763737, -2.7523441,0.506252, -0.9379377, -0.14846686,-0.5872903, 0.17924929, -0.87687755,Walking
5.7248282, -5.784948, -3.7031922,0.48920828, -1.1397994, -0.18575001,-0.41801882, 0.2931552, -1.3974528,Walking
5.588138, -5.423033, -4.354937,0.16484481, -1.218094, -0.2757622,-0.44229603, 0.5243454, -1.6014595,Walking
5.5713882, -5.564509, -4.039683,-0.31664053, -1.0348738, -0.38654643,-0.38270092, 0.2738185, -0.9659946,Walking
5.5019965, -5.883054, -2.9703903,-0.6612434, -0.64659643, -0.46430844,-0.40696478, -0.122767925, 0.22289872,Walking
5.5199428, -6.4005013, -2.251646,-0.7555165, -0.24287313, -0.52982026,-0.38489866, -0.66701126, 0.9374914,Walking
5.3342, -6.8195443, -1.954637,-0.7299509, 0.034087457, -0.5910712,-0.5748935, -1.0815339, 1.1808621,Walking
4.9486566, -6.975377, -1.7856439,-0.65005845, 0.14380646, -0.60598445,-0.9429641, -1.2259979, 1.277802,Walking
4.664808, -6.998109, -1.6166508,-0.5099803, 0.10812115, -0.57935363,-1.1901832, -1.2350373, 1.3670232,Walking
4.523332, -6.876075, -1.5364913,-0.2671072, 0.0058587817, -0.53567904,-1.2851291, -1.099124, 1.3631368,Walking
4.4671006, -6.943074, -1.8514465,0.030092834, -0.13315412, -0.4856131,-1.2895446, -1.1330562, 0.9843316,Walking
4.368995, -6.7645097, -2.353341,0.2644441, -0.32170036, -0.45152566,-1.3264842, -0.92504835, 0.45633173,Walking
4.128217, -6.567999, -2.8600214,0.40239176, -0.52409464, -0.430221,-1.4882898, -0.70746994, -0.03522539,Walking
3.8910286, -6.4052873, -3.1977084,0.43701184, -0.68121654, -0.40252492,-1.6317656, -0.5314894, -0.32747293,Walking
3.5676985, -6.1824555, -3.2506495,0.41464195, -0.76004374, -0.34446973,-1.8433073, -0.3046651, -0.3262546,Walking
3.3544383, -6.059225, -3.1235309,0.39866346, -0.7637721, -0.24220736,-1.932903, -0.17429304, -0.15551758,Walking
3.3113675, -5.918946, -3.0840492,0.41996813, -0.71210825, -0.12503172,-1.8512886, -0.02136898, -0.08620882,Walking
3.426223, -5.9763737, -3.0517461,0.50518674, -0.5981283, 0.013981183,-1.6184368, -0.045357704, -0.04960084,Walking
3.7005002, -5.9751773, -3.1498518,0.6244929, -0.4740287, 0.1561898,-1.2389221, 0.0076670647, -0.16624331,Walking
4.185645, -5.9703918, -3.4707892,0.7272878, -0.3643097, 0.26604193,-0.6705971, 0.07706261, -0.514745,Walking
4.666004, -5.8651075, -3.8315072,0.7523208, -0.29773262, 0.31770575,-0.12948322, 0.24530554, -0.89800596,Walking
5.148756, -5.839983, -4.03729,0.71237457, -0.26630825, 0.30332512,0.38887596, 0.32601833, -1.1185482,Walking
5.6410794, -5.9823556, -3.9284165,0.65911293, -0.29293907, 0.23834589,0.89121866, 0.23386478, -1.0217588,Walking
6.1103716, -6.2291155, -3.7618163,0.6575151, -0.33821148, 0.15246147,1.3468633, 0.037227154, -0.8711066,Walking
6.6445694, -6.968199, -3.9511483,0.7145051, -0.3419398, 0.05872097,1.8394628, -0.6325922, -1.0769567,Walking
6.6218376, -7.2556367, -4.475775,0.6942656, -0.29826525, 0.02356828,1.7730193, -0.84867716, -1.6029615,Walking
6.4495544, -6.4698935, -4.4195433,0.5424699, -0.20239428, 0.09653674,1.5699782, -0.022575855, -1.5428038,Walking
6.863812, -5.979963, -4.004987,0.37150002, -0.03515269, 0.10292814,1.9350076, 0.48203754, -1.1345203,Walking
6.8650084, -5.849554, -3.609872,0.26923764, 0.19813335, -0.050998032,1.8586845, 0.60325956, -0.76802063,Walking
6.4938216, -6.018248, -3.9188452,0.17922546, 0.50119215, -0.13941237,1.3983097, 0.41744947, -1.1146154,Walking
6.1788664, -6.4148583, -3.4456646,0.0013315412, 0.7340787, -0.1500647,0.994246, 0.005785942, -0.6946697,Walking
6.044569, -6.8521466, -2.6898317,-0.13342044, 0.7079805, -0.07070484,0.79004574, -0.4330182, 0.0052480698,Walking
6.451947, -6.7932234, -1.9606191,-0.13714875, 0.52409464, 0.093341045,1.1486506, -0.36153793, 0.6783117,Walking
6.940382, -6.460322, -1.1736795,-2.6630826E-4, 0.22050324, 0.19134249,1.6055679, -0.008415699, 1.4032958,Walking
7.484151, -6.332306, -0.3281158,0.23461758, -0.30199355, 0.10931954,2.1212306, 0.13932943, 2.1914217,Walking
7.68784, -6.3215384, -0.051445685,0.5834814, -0.8031857, -0.08135717,2.294001, 0.16617489, 2.4146273,Walking
7.437491, -6.3083777, -0.31375888,0.94353014, -1.0402, -0.30878443,2.0032501, 0.18753624, 2.0884376,Walking
6.927222, -6.36102, -0.8670991,1.2343388, -0.9901341, -0.45525396,1.4450336, 0.14037943, 1.4469993,Walking
6.4002023, -6.3945193, -1.5855441,1.381341, -0.77868533, -0.47975433,0.870214, 0.11391115, 0.6205306,Walking
6.0625153, -6.444769, -2.1750758,1.3611015, -0.5155728, -0.42649266,0.4880252, 0.07290268, -0.08495474,Walking
5.871987, -6.480661, -2.2420747,1.2401975, -0.32436347, -0.34233928,0.26056767, 0.04774618, -0.26931977,Walking
5.6204414, -6.695118, -2.3198416,1.1123695, -0.26311255, -0.22516362,-0.009783745, -0.14626837, -0.45102,Walking
5.6240306, -6.832705, -2.2061825,0.9706936, -0.29080862, -0.035019536,-2.7656555E-4, -0.24758005, -0.4210397,Walking
5.757131, -6.880861, -2.0036898,0.8609746, -0.38508174, 0.11943925,0.15800619, -0.24730778, -0.28185487,Walking
5.903393, -6.861718, -1.66361,0.8061151, -0.46870252, 0.20625575,0.3395605, -0.17490292, 0.0040506124,Walking
6.3738813, -7.0028944, -1.3256238,0.8258219, -0.55977994, 0.2174407,0.8396239, -0.26037264, 0.28774166,Walking
6.6625156, -6.795616, -1.2323036,0.89399683, -0.67802083, 0.0885475,1.1380539, -0.01524353, 0.32906806,Walking
6.3535423, -6.652047, -1.4359927,0.9786828, -0.7451305, -0.09733567,0.8221183, 0.14462757, 0.07406366,Walking
5.828916, -6.741778, -1.9127626,0.97229147, -0.72009754, -0.21025036,0.28482676, 0.059147835, -0.44561064,Walking
5.2683973, -6.843473, -2.2181466,0.8641703, -0.57842153, -0.20545682,-0.28138828, -0.03981352, -0.78839576,Walking
4.9462633, -7.0112696, -2.4047868,0.70118964, -0.36857063, -0.10319445,-0.59595823, -0.19569969, -1.0098584,Walking
4.909175, -7.1527452, -2.3425734,0.5328828, -0.15126309, 0.0027962367,-0.6171837, -0.31650352, -0.9843954,Walking
